ID,type,start_time,end_time,time_of_warning,wind_speed,rainfall,flood_depth,magnitude,cause
H-2000037,hurricane,"1952-09-23T23:10:55","1952-09-24T21:10:55","1952-09-13T07:37:16",187,53,194,5,null
H-2000038,hurricane,"2018-01-10T02:17:51","2018-01-10T19:17:51","2018-01-05T12:59:14",113,11,17,3,null
H-2000039,hurricane,"1969-10-10T14:07:57","1969-10-11T02:07:57","1969-09-29T22:09:37",87,9,4,1,null
H-2000040,hurricane,"1913-07-06T03:24:16","1913-07-06T22:24:16","1913-06-26T09:19:44",120,16,45,3,null
H-2000041,hurricane,"2013-09-09T09:57:42","2013-09-10T04:57:42","2013-09-01T16:25:48",117,13,16,3,null
H-2000042,hurricane,"1983-02-24T07:08:17","1983-02-25T04:08:17","1983-02-18T22:35:15",132,28,114,4,null
H-2000043,hurricane,"1908-10-26T19:35:25","1908-10-27T09:35:25","1908-10-18T12:23:50",101,8,15,2,null
H-2000044,hurricane,"1990-01-12T09:04:56","1990-01-13T06:04:56","1990-01-03T06:48:29",147,33,136,4,null
H-2000045,hurricane,"1938-03-30T08:04:52","1938-03-31T02:04:52","1938-03-25T16:56:42",139,26,80,4,null
H-2000046,hurricane,"2018-04-08T09:51:06","2018-04-09T03:51:06","2018-03-29T06:14:54",138,22,62,4,null
H-2000047,hurricane,"1974-07-18T20:41:33","1974-07-19T16:41:33","1974-07-12T16:44:45",136,26,114,4,null
H-2000048,hurricane,"1995-04-25T22:54:51","1995-04-26T13:54:51","1995-04-19T02:41:41",108,7,4,2,null
H-2000049,hurricane,"1880-11-29T01:48:34","1880-11-30T00:48:34","1880-11-19T01:58:36",163,25,76,5,null
H-2000050,hurricane,"2002-10-13T04:12:13","2002-10-13T21:12:13","2002-10-06T23:00:40",115,14,28,3,null
H-2000051,hurricane,"1962-09-27T12:55:41","1962-09-28T03:55:41","1962-09-16T19:51:43",109,8,14,2,null
H-2000052,hurricane,"1882-03-14T20:07:12","1882-03-15T13:07:12","1882-03-05T15:52:05",106,7,22,2,null
H-2000053,hurricane,"1871-09-19T14:16:54","1871-09-20T09:16:54","1871-09-13T04:41:42",144,20,30,4,null
H-2000054,hurricane,"2004-08-10T01:09:37","2004-08-10T16:09:37","2004-08-04T03:36:59",77,5,15,1,null
H-2000055,hurricane,"2018-05-28T22:12:23","2018-05-29T16:12:23","2018-05-20T11:08:42",135,33,127,4,null
H-2000056,hurricane,"1998-09-13T20:05:47","1998-09-14T13:05:47","1998-09-08T17:50:55",125,9,8,3,null
H-2000057,hurricane,"1873-07-28T04:09:33","1873-07-28T21:09:33","1873-07-23T10:07:32",105,7,3,2,null
H-2000058,hurricane,"1873-08-02T07:20:50","1873-08-03T01:20:50","1873-07-24T22:48:03",131,30,72,4,null
H-2000059,hurricane,"1986-03-28T23:18:23","1986-03-29T18:18:23","1986-03-24T14:18:48",152,26,83,4,null
H-2000060,hurricane,"1962-10-29T14:04:48","1962-10-30T07:04:48","1962-10-22T23:14:57",109,7,22,2,null
H-2000061,hurricane,"1964-10-26T12:23:32","1964-10-27T04:23:32","1964-10-16T16:27:48",119,12,13,3,null
H-2000062,hurricane,"2005-01-11T13:55:40","2005-01-12T03:55:40","2005-01-07T10:19:57",86,10,10,1,null
H-2000063,hurricane,"1887-12-04T12:28:02","1887-12-05T03:28:02","1887-11-25T08:39:27",104,9,9,2,null
H-2000064,hurricane,"1937-04-29T18:52:39","1937-04-30T15:52:39","1937-04-19T17:03:10",135,25,50,4,null
H-2000065,hurricane,"1889-03-02T10:30:10","1889-03-02T22:30:10","1889-02-23T02:29",79,8,5,1,null
H-2000066,hurricane,"2013-01-22T07:07:02","2013-01-23T06:07:02","2013-01-12T20:51:29",170,38,135,5,null
H-2000067,hurricane,"1930-03-26T18:20:08","1930-03-27T14:20:08","1930-03-22T13:59:04",134,34,115,4,null
H-2000068,hurricane,"1950-06-30T22:47:24","1950-07-01T13:47:24","1950-06-23T21:01:36",78,7,1,1,null
H-2000069,hurricane,"2010-08-07T06:55:04","2010-08-08T00:55:04","2010-07-29T09:41:19",128,11,28,3,null
H-2000070,hurricane,"1937-11-03T05:13:19","1937-11-03T22:13:19","1937-10-25T01:25:26",106,10,13,2,null
H-2000071,hurricane,"1869-09-05T11:24:39","1869-09-06T06:24:39","1869-08-27T21:34:57",131,23,79,4,null
H-2000072,hurricane,"1909-07-28T08:01:49","1909-07-29T03:01:49","1909-07-19T14:03:46",114,15,32,3,null
H-2000073,hurricane,"2018-12-25T09:13:19","2018-12-26T02:13:19","2018-12-17T17:39:44",107,12,35,2,null
H-2000074,hurricane,"1937-12-01T00:42:14","1937-12-01T14:42:14","1937-11-21T07:20:06",108,7,4,2,null
H-2000075,hurricane,"1950-10-04T22:31:23","1950-10-05T12:31:23","1950-09-28T13:25:17",94,8,7,1,null
H-2000076,hurricane,"1917-07-30T21:29:10","1917-07-31T16:29:10","1917-07-22T02:25:48",153,31,144,4,null
H-2000077,hurricane,"1995-05-29T03:32:22","1995-05-29T17:32:22","1995-05-18T13:44:33",76,8,2,1,null
H-2000078,hurricane,"1970-08-10T10:39:20","1970-08-11T02:39:20","1970-08-04T20:38:53",104,8,15,2,null
H-2000079,hurricane,"1910-04-27T04:57:01","1910-04-27T17:57:01","1910-04-19T15:19:41",74,7,21,1,null
H-2000080,hurricane,"1878-06-25T23:21:40","1878-06-26T23:21:40","1878-06-15T21:38:55",171,29,117,5,null
H-2000081,hurricane,"1972-09-24T17:52:39","1972-09-25T14:52:39","1972-09-13T18:18:56",136,26,114,4,null
H-2000082,hurricane,"1955-10-05T18:42:40","1955-10-06T14:42:40","1955-09-25T18:13:23",189,60,248,5,null
H-2000083,hurricane,"1885-06-06T08:46:37","1885-06-07T03:46:37","1885-05-30T05:12:46",116,16,57,3,null
H-2000084,hurricane,"1893-10-19T09:07:06","1893-10-19T23:07:06","1893-10-10T10:47:26",104,9,8,2,null
H-2000085,hurricane,"1917-08-23T11:34:21","1917-08-24T06:34:21","1917-08-16T23:32:46",133,35,100,4,null
H-2000086,hurricane,"1936-02-17T21:57:39","1936-02-18T13:57:39","1936-02-08T21:19:35",120,14,35,3,null
H-2000087,hurricane,"1913-10-13T06:21:12","1913-10-13T18:21:12","1913-10-04T16:56:18",79,5,20,1,null
H-2000088,hurricane,"1898-02-26T20:28:40","1898-02-27T12:28:40","1898-02-19T04:06:34",106,8,2,2,null
H-2000089,hurricane,"1900-02-21T03:32:10","1900-02-21T21:32:10","1900-02-12T00:57:48",117,12,21,3,null
H-2000090,hurricane,"1942-11-20T11:50:37","1942-11-21T06:50:37","1942-11-13T15:03:19",120,11,31,3,null
H-2000091,hurricane,"1979-06-09T16:59:51","1979-06-10T13:59:51","1979-05-30T20:47:29",172,50,191,5,null
H-2000092,hurricane,"1892-10-13T03:39:52","1892-10-13T22:39:52","1892-10-09T02:31:36",138,13,18,4,null
H-2000093,hurricane,"1940-09-19T21:38:53","1940-09-20T10:38:53","1940-09-15T04:58:56",78,10,22,1,null
H-2000094,hurricane,"1965-11-12T17:06:22","1965-11-13T05:06:22","1965-11-07T09:27:57",88,10,16,1,null
H-2000095,hurricane,"1899-09-09T23:48:13","1899-09-10T18:48:13","1899-09-02T20:37:54",135,14,20,4,null
H-2000096,hurricane,"1875-05-16T17:26:56","1875-05-17T06:26:56","1875-05-11T13:29:54",90,7,12,1,null
H-2000097,hurricane,"1942-02-07T01:30:45","1942-02-07T23:30:45","1942-01-30T01:35:56",189,47,202,5,null
H-2000098,hurricane,"1909-03-02T04:11:38","1909-03-02T19:11:38","1909-02-25T23:46:14",78,10,12,1,null
H-2000099,hurricane,"1950-08-30T15:41:24","1950-08-31T10:41:24","1950-08-19T16:23",122,13,35,3,null
H-2000100,hurricane,"1982-03-15T02:10:34","1982-03-15T17:10:34","1982-03-07T08:14:12",83,8,4,1,null
H-2000101,hurricane,"1893-05-21T14:21:10","1893-05-22T11:21:10","1893-05-17T05:12:41",171,36,167,5,null
H-2000102,hurricane,"2006-01-22T16:47:11","2006-01-23T08:47:11","2006-01-14T08:42:24",97,7,4,2,null
H-2000103,hurricane,"1876-03-20T11:35:58","1876-03-21T10:35:58","1876-03-10T05:21:12",159,59,229,5,null
H-2000104,hurricane,"1921-10-28T16:15:47","1921-10-29T05:15:47","1921-10-21T20:09:56",95,7,21,1,null
H-2000105,hurricane,"1908-06-09T04:17:32","1908-06-09T18:17:32","1908-06-05T03:48:05",94,6,21,1,null
H-2000106,hurricane,"1979-11-08T00:07:08","1979-11-08T14:07:08","1979-11-03T16:41:20",99,9,12,2,null
H-2000107,hurricane,"1921-07-16T00:09:29","1921-07-16T22:09:29","1921-07-05T04:24:44",190,47,174,5,null
H-2000108,hurricane,"1980-07-21T06:16:30","1980-07-21T21:16:30","1980-07-15T19:24:34",81,6,21,1,null
H-2000109,hurricane,"1902-01-23T23:13:12","1902-01-24T17:13:12","1902-01-13T04:28:42",140,28,107,4,null
H-2000110,hurricane,"1868-08-21T10:11:38","1868-08-22T01:11:38","1868-08-17T02:05:24",78,6,24,1,null
H-2000111,hurricane,"1889-04-25T22:45:50","1889-04-26T20:45:50","1889-04-18T05:20:51",157,55,196,5,null
H-2000112,hurricane,"1866-11-15T22:32","1866-11-16T17:32","1866-11-09T02:04:51",134,26,117,4,null
H-2000113,hurricane,"1888-03-24T07:49:59","1888-03-25T01:49:59","1888-03-13T10:05:31",129,16,50,3,null
H-2000114,hurricane,"1910-03-22T00:40:30","1910-03-22T12:40:30","1910-03-15T00:07:50",80,5,0,1,null
H-2000115,hurricane,"1984-01-02T02:40:28","1984-01-02T20:40:28","1983-12-22T11:22:33",122,15,21,3,null
H-2000116,hurricane,"1972-03-16T22:00:42","1972-03-17T17:00:42","1972-03-06T03:17:20",140,31,129,4,null
H-2000117,hurricane,"1933-04-09T12:47:04","1933-04-10T06:47:04","1933-04-03T15:52:16",132,18,59,4,null
H-2000118,hurricane,"1943-02-15T04:24:22","1943-02-16T00:24:22","1943-02-09T05:39:31",155,30,78,4,null
H-2000119,hurricane,"1908-01-23T18:00:55","1908-01-24T17:00:55","1908-01-18T22:51:57",190,34,117,5,null
H-2000120,hurricane,"1984-02-18T04:32:09","1984-02-19T02:32:09","1984-02-08T23:18:40",159,39,127,5,null
H-2000121,hurricane,"1919-06-04T11:19:15","1919-06-05T06:19:15","1919-05-25T18:59:01",119,10,21,3,null
H-2000122,hurricane,"1949-08-12T05:35:45","1949-08-13T05:35:45","1949-08-06T03:05:13",183,47,185,5,null
H-2000123,hurricane,"1965-05-30T05:43:02","1965-05-30T20:43:02","1965-05-22T08:42:32",98,7,14,2,null
H-2000124,hurricane,"1944-02-07T10:55:59","1944-02-08T00:55:59","1944-02-01T15:28:58",105,10,10,2,null
H-2000125,hurricane,"1878-11-07T10:25:46","1878-11-08T10:25:46","1878-10-29T12:51:35",181,38,148,5,null
H-2000126,hurricane,"2017-05-15T01:31:15","2017-05-15T21:31:15","2017-05-08T10:48:20",188,44,166,5,null
H-2000127,hurricane,"1919-09-05T17:04:37","1919-09-06T07:04:37","1919-08-26T08:19:46",86,8,9,1,null
H-2000128,hurricane,"1867-07-17T12:31:22","1867-07-18T02:31:22","1867-07-12T21:34:46",78,7,22,1,null
H-2000129,hurricane,"1917-06-12T17:59:28","1917-06-13T06:59:28","1917-06-07T18:37:13",83,6,4,1,null
H-2000130,hurricane,"1964-01-10T03:12:09","1964-01-10T20:12:09","1964-01-04T22:13",98,11,22,2,null
H-2000131,hurricane,"1923-09-03T02:31:33","1923-09-03T20:31:33","1923-08-26T19:53:21",121,15,14,3,null
H-2000132,hurricane,"1881-11-27T15:43:36","1881-11-28T07:43:36","1881-11-22T16:02:32",116,13,26,3,null
H-2000133,hurricane,"1929-09-05T00:01:02","1929-09-05T12:01:02","1929-08-25T14:38:51",94,6,5,1,null
H-2000134,hurricane,"1871-12-27T04:26:14","1871-12-27T21:26:14","1871-12-16T14:35:21",96,12,35,2,null
H-2000135,hurricane,"1929-05-09T18:34:36","1929-05-10T12:34:36","1929-05-01T08:08:05",154,32,138,4,null
H-2000136,hurricane,"1936-01-18T20:26:20","1936-01-19T19:26:20","1936-01-13T01:46:41",190,43,166,5,null
H-2000137,hurricane,"1944-08-02T23:13:54","1944-08-03T15:13:54","1944-07-28T22:26:58",125,16,43,3,null
H-2000138,hurricane,"1874-11-22T05:20:48","1874-11-22T20:20:48","1874-11-12T11:31:37",109,11,27,2,null
H-2000139,hurricane,"1984-03-16T07:32:47","1984-03-17T01:32:47","1984-03-08T10:55:55",153,33,136,4,null
H-2000140,hurricane,"1913-03-06T04:31:53","1913-03-07T04:31:53","1913-03-02T00:42:55",172,36,142,5,null
H-2000141,hurricane,"1948-04-19T15:16:58","1948-04-20T13:16:58","1948-04-08T21:04:55",159,28,96,5,null
H-2000142,hurricane,"1898-11-24T03:43:24","1898-11-24T22:43:24","1898-11-15T22:08:38",124,13,35,3,null
H-2000143,hurricane,"1910-09-19T21:18:54","1910-09-20T11:18:54","1910-09-08T22:33:40",107,9,17,2,null
H-2000144,hurricane,"1994-02-11T09:57:06","1994-02-12T05:57:06","1994-02-02T14:01:16",137,20,32,4,null
H-2000145,hurricane,"2009-04-20T04:11:53","2009-04-20T16:11:53","2009-04-14T17:58:12",83,5,23,1,null
H-2000146,hurricane,"1950-12-17T17:15:54","1950-12-18T13:15:54","1950-12-11T04:42:07",171,52,229,5,null
H-2000147,hurricane,"1880-04-14T20:30:19","1880-04-15T16:30:19","1880-04-05T21:21:12",135,30,113,4,null
H-2000148,hurricane,"1936-12-07T10:40:53","1936-12-08T07:40:53","1936-11-27T20:46:24",161,55,206,5,null
H-2000149,hurricane,"1958-05-20T21:14:36","1958-05-21T11:14:36","1958-05-15T12:01:41",78,6,10,1,null
H-2000150,hurricane,"1873-09-04T01:16:35","1873-09-04T19:16:35","1873-08-25T10:09:21",142,31,106,4,null
H-2000151,hurricane,"1938-11-27T20:21:09","1938-11-28T10:21:09","1938-11-22T18:19:37",90,7,23,1,null
H-2000152,hurricane,"1921-11-29T10:23:27","1921-11-30T05:23:27","1921-11-25T03:46:53",154,20,52,4,null
H-2000153,hurricane,"2000-11-03T05:46:10","2000-11-04T00:46:10","2000-10-29T00:33:48",121,13,13,3,null
H-2000154,hurricane,"1879-07-20T16:38:58","1879-07-21T06:38:58","1879-07-10T17:26:48",103,8,16,2,null
H-2000155,hurricane,"1931-10-07T02:57:29","1931-10-07T21:57:29","1931-09-30T04:44:27",142,26,75,4,null
H-2000156,hurricane,"1967-01-22T19:58:26","1967-01-23T12:58:26","1967-01-17T05:11:04",99,9,15,2,null
H-2000157,hurricane,"1966-11-04T21:57:52","1966-11-05T21:57:52","1966-10-31T07:35:58",177,47,210,5,null
H-2000158,hurricane,"1930-02-28T06:19:10","1930-02-28T22:19:10","1930-02-24T01:25:54",110,12,15,2,null
H-2000159,hurricane,"1971-05-11T14:03:43","1971-05-12T04:03:43","1971-05-01T06:13:26",81,9,18,1,null
H-2000160,hurricane,"1890-07-29T08:53:51","1890-07-30T00:53:51","1890-07-21T20:37:42",108,12,23,2,null
H-2000161,hurricane,"1951-02-11T10:04:37","1951-02-12T04:04:37","1951-02-03T14:46:06",137,20,57,4,null
H-2000162,hurricane,"1996-03-20T11:46:30","1996-03-21T02:46:30","1996-03-11T20:15:31",101,8,0,2,null
H-2000163,hurricane,"1983-01-03T04:07:21","1983-01-04T01:07:21","1982-12-24T12:01:50",149,15,18,4,null
H-2000164,hurricane,"1893-07-14T15:26:22","1893-07-15T09:26:22","1893-07-04T12:05:16",119,10,21,3,null
H-2000165,hurricane,"1892-05-31T09:05:47","1892-06-01T01:05:47","1892-05-26T03:45:03",128,12,27,3,null
H-2000166,hurricane,"1922-04-20T16:16:28","1922-04-21T12:16:28","1922-04-11T05:52:13",180,35,142,5,null
H-2000167,hurricane,"1891-07-08T08:33:57","1891-07-09T05:33:57","1891-06-30T02:42:41",140,30,88,4,null
H-2000168,hurricane,"1895-02-07T05:59:07","1895-02-08T03:59:07","1895-01-27T18:52:19",182,41,172,5,null
H-2000169,hurricane,"1882-12-30T14:07:55","1882-12-31T08:07:55","1882-12-20T08:04:45",152,16,27,4,null
H-2000170,hurricane,"1986-05-30T22:14:27","1986-05-31T15:14:27","1986-05-20T20:00:36",105,7,22,2,null
H-2000171,hurricane,"1929-01-27T08:31:17","1929-01-27T20:31:17","1929-01-21T22:00:47",89,7,1,1,null
H-2000172,hurricane,"1898-05-29T19:27:17","1898-05-30T16:27:17","1898-05-20T00:05:58",133,13,32,4,null
H-2000173,hurricane,"1979-10-13T02:00:29","1979-10-13T21:00:29","1979-10-04T16:13:05",118,11,36,3,null
H-2000174,hurricane,"2006-03-31T21:44:40","2006-04-01T17:44:40","2006-03-21T21:35:59",180,32,96,5,null
H-2000175,hurricane,"1885-12-14T02:32:08","1885-12-14T14:32:08","1885-12-07T18:49:58",90,7,12,1,null
H-2000176,hurricane,"1904-11-11T00:45:25","1904-11-11T23:45:25","1904-11-05T11:29:20",185,46,189,5,null
H-2000177,hurricane,"1902-03-20T02:36:21","1902-03-20T18:36:21","1902-03-10T11:16:45",109,12,36,2,null
H-2000178,hurricane,"1988-06-17T08:05:04","1988-06-18T03:05:04","1988-06-06T09:14:37",131,17,63,4,null
H-2000179,hurricane,"1876-01-25T19:47:53","1876-01-26T16:47:53","1876-01-15T14:33:29",146,13,28,4,null
H-2000180,hurricane,"1980-01-09T13:45:06","1980-01-10T06:45:06","1980-01-03T23:17:01",111,11,13,3,null
H-2000181,hurricane,"1922-11-26T14:30:43","1922-11-27T07:30:43","1922-11-18T00:14:44",105,10,4,2,null
H-2000182,hurricane,"1866-08-05T20:58:14","1866-08-06T08:58:14","1866-07-28T13:49:08",91,5,23,1,null
H-2000183,hurricane,"1924-10-22T14:59:28","1924-10-23T07:59:28","1924-10-18T00:59:36",97,9,17,2,null
H-2000184,hurricane,"1898-12-17T23:01:01","1898-12-18T17:01:01","1898-12-11T06:26:52",112,9,0,3,null
H-2000185,hurricane,"1899-03-03T08:00:29","1899-03-04T08:00:29","1899-02-21T10:37:50",190,33,112,5,null
H-2000186,hurricane,"1998-01-27T22:56:21","1998-01-28T13:56:21","1998-01-18T01:55:58",89,6,0,1,null
H-2000187,hurricane,"1894-01-17T22:31:16","1894-01-18T16:31:16","1894-01-11T09:00:55",124,16,28,3,null
H-2000188,hurricane,"1934-08-26T16:06:12","1934-08-27T07:06:12","1934-08-20T13:20:53",82,10,6,1,null
H-2000189,hurricane,"1940-09-20T21:17:50","1940-09-21T13:17:50","1940-09-13T23:19:19",127,14,19,3,null
H-2000190,hurricane,"1913-06-21T21:49:57","1913-06-22T15:49:57","1913-06-16T19:49:21",144,17,69,4,null
H-2000191,hurricane,"1952-04-06T11:01:02","1952-04-07T07:01:02","1952-03-27T12:12:20",171,46,210,5,null
H-2000192,hurricane,"1958-09-29T17:13:32","1958-09-30T08:13:32","1958-09-19T04:36:21",79,7,1,1,null
H-2000193,hurricane,"1945-04-27T04:50:08","1945-04-27T22:50:08","1945-04-22T10:13:40",134,15,15,4,null
H-2000194,hurricane,"1936-10-21T04:57:21","1936-10-22T02:57:21","1936-10-14T23:07:08",178,57,217,5,null
H-2000195,hurricane,"1951-10-09T16:11:10","1951-10-10T06:11:10","1951-09-30T16:45:29",92,6,12,1,null
H-2000196,hurricane,"1882-08-20T07:46:02","1882-08-21T04:46:02","1882-08-10T10:40:20",149,17,45,4,null
H-2000197,hurricane,"1956-05-19T22:03:07","1956-05-20T16:03:07","1956-05-14T13:42:09",125,13,30,3,null
H-2000198,hurricane,"1942-02-09T13:18:52","1942-02-10T11:18:52","1942-01-30T08:01:41",171,39,152,5,null
H-2000199,hurricane,"1954-08-13T21:25:14","1954-08-14T17:25:14","1954-08-06T05:23:10",137,26,85,4,null
H-2000200,hurricane,"1866-07-24T12:46:20","1866-07-25T10:46:20","1866-07-16T08:50:52",177,30,110,5,null
H-2000201,hurricane,"1980-05-16T11:52:58","1980-05-17T03:52:58","1980-05-11T05:31:58",116,12,27,3,null
H-2000202,hurricane,"1998-11-14T00:55:17","1998-11-14T17:55:17","1998-11-03T19:05:50",116,9,17,3,null
H-2000203,hurricane,"1879-10-01T03:04:35","1879-10-01T17:04:35","1879-09-23T02:20:57",95,10,3,1,null
H-2000204,hurricane,"1920-04-29T18:32:49","1920-04-30T14:32:49","1920-04-20T00:25:58",149,21,71,4,null
H-2000205,hurricane,"1885-01-12T01:35:31","1885-01-12T16:35:31","1885-01-03T18:20:50",85,10,11,1,null
H-2000206,hurricane,"2015-06-29T09:19:33","2015-06-30T05:19:33","2015-06-21T11:08:17",131,23,69,4,null
H-2000207,hurricane,"1954-01-08T14:22:47","1954-01-09T10:22:47","1954-01-03T17:46:02",183,54,220,5,null
H-2000208,hurricane,"1929-03-22T07:42:14","1929-03-23T04:42:14","1929-03-11T14:28:30",132,27,85,4,null
H-2000209,hurricane,"1922-07-31T12:50:35","1922-08-01T00:50:35","1922-07-27T00:15:04",91,10,6,1,null
H-2000210,hurricane,"1868-02-08T20:42:32","1868-02-09T16:42:32","1868-02-04T18:30:17",131,15,26,4,null
H-2000211,hurricane,"1995-12-03T06:13:22","1995-12-03T20:13:22","1995-11-25T08:04:26",77,5,16,1,null
H-2000212,hurricane,"1877-06-13T13:58:16","1877-06-14T06:58:16","1877-06-04T23:41:35",101,8,18,2,null
H-2000213,hurricane,"1885-04-02T05:16:58","1885-04-02T23:16:58","1885-03-26T13:33:30",117,15,30,3,null
H-2000214,hurricane,"1996-01-01T20:42:32","1996-01-02T09:42:32","1995-12-24T14:53:29",83,6,13,1,null
H-2000215,hurricane,"1958-05-02T06:03:56","1958-05-03T02:03:56","1958-04-24T08:36:39",151,22,75,4,null
H-2000216,hurricane,"1957-03-05T12:44:51","1957-03-06T02:44:51","1957-02-22T14:19:08",88,8,23,1,null
H-2000217,hurricane,"1887-01-02T23:09:41","1887-01-03T14:09:41","1886-12-29T09:02:07",83,6,7,1,null
H-2000218,hurricane,"2007-02-28T22:16:13","2007-03-01T15:16:13","2007-02-24T13:20:50",97,12,16,2,null
H-2000219,hurricane,"1992-07-27T22:26:52","1992-07-28T10:26:52","1992-07-21T13:19:22",84,10,14,1,null
H-2000220,hurricane,"1991-06-13T23:47:17","1991-06-14T15:47:17","1991-06-07T21:36:54",100,12,15,2,null
H-2000221,hurricane,"2012-01-24T12:48:09","2012-01-25T04:48:09","2012-01-18T06:37:58",98,9,4,2,null
H-2000222,hurricane,"1913-09-07T17:48:17","1913-09-08T14:48:17","1913-09-01T09:54:23",175,54,212,5,null
H-2000223,hurricane,"1955-09-25T02:56:57","1955-09-25T17:56:57","1955-09-15T19:08:46",98,11,23,2,null
H-2000224,hurricane,"1924-10-13T09:56:17","1924-10-14T06:56:17","1924-10-03T12:11:04",138,27,87,4,null
H-2000225,hurricane,"1930-05-23T08:52:23","1930-05-24T03:52:23","1930-05-16T21:24:51",116,14,12,3,null
H-2000226,hurricane,"1950-04-17T00:37:01","1950-04-17T15:37:01","1950-04-06T11:18:18",101,7,5,2,null
H-2000227,hurricane,"1977-11-24T15:18:04","1977-11-25T05:18:04","1977-11-18T16:58:55",108,7,1,2,null
