campaign_ID,item_ID,quantity
RC-1100011,RI-0000003C,15
RC-1100011,RI-0000000A,30
RC-1100012,RI-0000018E,22
RC-1100012,RI-0000016E,18
RC-1100012,RI-0000012E,12
RC-1100012,RI-0000007E,5
RC-1100012,RI-0000014E,6
RC-1100012,RI-0000017E,21
RC-1100012,RI-0000015E,3
RC-1100012,RI-0000005D,15
RC-1100012,RI-0000009F,11
RC-1100012,RI-0000011F,2
RC-1100012,RI-0000001B,9
RC-1100012,RI-0000004C,9
RC-1100012,RI-0000035I,11
RC-1100012,RI-0000041I,5
RC-1100012,RI-0000000A,6
RC-1100013,RI-0000025H,8
RC-1100013,RI-0000024H,20
RC-1100013,RI-0000054J,7
RC-1100013,RI-0000060J,28
RC-1100013,RI-0000059J,4
RC-1100013,RI-0000058J,19
RC-1100013,RI-0000053J,26
RC-1100013,RI-0000055J,22
RC-1100013,RI-0000057J,4
RC-1100013,RI-0000052J,3
RC-1100013,RI-0000014E,25
RC-1100014,RI-0000020G,9
RC-1100014,RI-0000021G,23
RC-1100014,RI-0000023G,24
RC-1100014,RI-0000019G,28
RC-1100014,RI-0000009F,2
RC-1100014,RI-0000008F,3
RC-1100014,RI-0000010F,15
RC-1100014,RI-0000043I,20
RC-1100014,RI-0000041I,16
RC-1100014,RI-0000036I,26
RC-1100014,RI-0000031I,25
RC-1100014,RI-0000046I,28
RC-1100014,RI-0000050I,21
RC-1100014,RI-0000032I,28
RC-1100014,RI-0000051I,28
RC-1100014,RI-0000040I,6
RC-1100014,RI-0000002C,22
RC-1100014,RI-0000057J,4
RC-1100014,RI-0000000A,5
RC-1100014,RI-0000016E,29
RC-1100014,RI-0000018E,14
RC-1100014,RI-0000007E,25
RC-1100014,RI-0000026D,8
RC-1100014,RI-0000001B,19
RC-1100014,RI-0000024H,24
RC-1100015,RI-0000010F,17
RC-1100015,RI-0000008F,12
RC-1100015,RI-0000011F,28
RC-1100015,RI-0000009F,15
RC-1100015,RI-0000025H,4
RC-1100015,RI-0000024H,23
RC-1100015,RI-0000004C,3
RC-1100015,RI-0000002C,28
RC-1100015,RI-0000003C,16
RC-1100015,RI-0000000A,12
RC-1100016,RI-0000005D,8
RC-1100016,RI-0000006D,11
RC-1100016,RI-0000011F,17
RC-1100016,RI-0000009F,4
RC-1100016,RI-0000010F,9
RC-1100016,RI-0000008F,22
RC-1100016,RI-0000001B,13
RC-1100016,RI-0000018E,18
RC-1100016,RI-0000025H,25
RC-1100016,RI-0000024H,23
RC-1100016,RI-0000052J,10
RC-1100016,RI-0000058J,29
RC-1100016,RI-0000053J,22
RC-1100016,RI-0000060J,25
RC-1100016,RI-0000057J,15
RC-1100016,RI-0000022G,27
RC-1100016,RI-0000023G,10
RC-1100016,RI-0000021G,30
RC-1100016,RI-0000019G,14
RC-1100016,RI-0000000A,22
RC-1100016,RI-0000004C,3
RC-1100016,RI-0000038I,10
RC-1100016,RI-0000048I,28
RC-1100016,RI-0000031I,24
RC-1100017,RI-0000024H,27
RC-1100017,RI-0000025H,22
RC-1100017,RI-0000014E,4
RC-1100017,RI-0000015E,30
RC-1100017,RI-0000011F,7
RC-1100017,RI-0000010F,1
RC-1100017,RI-0000058J,9
RC-1100017,RI-0000059J,15
RC-1100017,RI-0000054J,7
RC-1100017,RI-0000056J,14
RC-1100017,RI-0000052J,25
RC-1100017,RI-0000019G,23
RC-1100017,RI-0000021G,20
RC-1100017,RI-0000022G,20
RC-1100017,RI-0000046I,20
RC-1100017,RI-0000028I,25
RC-1100017,RI-0000039I,19
RC-1100017,RI-0000047I,20
RC-1100017,RI-0000041I,8
RC-1100017,RI-0000037I,30
RC-1100017,RI-0000001B,5
RC-1100017,RI-0000000A,9
RC-1100017,RI-0000005D,22
RC-1100017,RI-0000026D,10
RC-1100017,RI-0000006D,1
RC-1100018,RI-0000055J,18
RC-1100018,RI-0000053J,19
RC-1100018,RI-0000057J,17
RC-1100018,RI-0000058J,6
RC-1100019,RI-0000041I,18
RC-1100019,RI-0000042I,10
RC-1100019,RI-0000044I,2
RC-1100019,RI-0000039I,9
RC-1100019,RI-0000027I,20
RC-1100019,RI-0000045I,3
RC-1100019,RI-0000034I,2
RC-1100019,RI-0000051I,23
RC-1100019,RI-0000047I,25
RC-1100019,RI-0000000A,11
RC-1100019,RI-0000001B,27
RC-1100019,RI-0000007E,12
RC-1100019,RI-0000013E,26
RC-1100019,RI-0000012E,17
RC-1100019,RI-0000014E,2
RC-1100019,RI-0000016E,1
RC-1100019,RI-0000018E,23
RC-1100019,RI-0000022G,18
RC-1100019,RI-0000023G,5
RC-1100019,RI-0000020G,29
RC-1100019,RI-0000019G,25
RC-1100019,RI-0000021G,2
RC-1100019,RI-0000058J,23
RC-1100019,RI-0000060J,29
RC-1100019,RI-0000059J,22
RC-1100019,RI-0000052J,22
RC-1100019,RI-0000053J,24
RC-1100019,RI-0000055J,1
RC-1100019,RI-0000057J,9
RC-1100019,RI-0000008F,15
RC-1100019,RI-0000006D,11
RC-1100019,RI-0000005D,1
RC-1100020,RI-0000000A,16
RC-1100020,RI-0000009F,17
RC-1100020,RI-0000011F,3
RC-1100020,RI-0000059J,14
RC-1100020,RI-0000054J,13
RC-1100020,RI-0000058J,26
RC-1100020,RI-0000052J,7
RC-1100020,RI-0000055J,20
RC-1100020,RI-0000056J,22
RC-1100020,RI-0000057J,16
RC-1100020,RI-0000053J,27
RC-1100020,RI-0000025H,4
RC-1100020,RI-0000024H,22
RC-1100020,RI-0000021G,9
RC-1100020,RI-0000023G,29
RC-1100020,RI-0000020G,2
RC-1100020,RI-0000019G,20
RC-1100020,RI-0000022G,2
RC-1100020,RI-0000001B,4
RC-1100020,RI-0000033I,20
RC-1100020,RI-0000028I,10
RC-1100021,RI-0000010F,16
RC-1100021,RI-0000015E,16
RC-1100021,RI-0000017E,4
RC-1100021,RI-0000018E,16
RC-1100021,RI-0000012E,27
RC-1100021,RI-0000007E,11
RC-1100021,RI-0000013E,5
RC-1100021,RI-0000028I,19
RC-1100021,RI-0000048I,14
RC-1100021,RI-0000046I,26
RC-1100021,RI-0000038I,23
RC-1100021,RI-0000030I,24
RC-1100021,RI-0000047I,21
RC-1100021,RI-0000035I,9
RC-1100021,RI-0000050I,19
RC-1100021,RI-0000033I,1
RC-1100021,RI-0000034I,21
RC-1100021,RI-0000040I,11
RC-1100021,RI-0000000A,22
RC-1100021,RI-0000001B,28
RC-1100021,RI-0000005D,19
RC-1100021,RI-0000026D,10
RC-1100021,RI-0000021G,8
RC-1100021,RI-0000054J,21
RC-1100021,RI-0000057J,16
RC-1100021,RI-0000053J,16
RC-1100021,RI-0000058J,22
RC-1100021,RI-0000056J,20
RC-1100021,RI-0000055J,26
RC-1100021,RI-0000060J,12
RC-1100021,RI-0000052J,14
RC-1100021,RI-0000025H,19
RC-1100021,RI-0000024H,7
RC-1100022,RI-0000024H,2
RC-1100022,RI-0000025H,15
RC-1100022,RI-0000019G,6
RC-1100022,RI-0000023G,22
RC-1100022,RI-0000000A,29
RC-1100022,RI-0000009F,3
RC-1100022,RI-0000011F,17
RC-1100022,RI-0000005D,25
RC-1100022,RI-0000026D,30
RC-1100022,RI-0000006D,15
RC-1100023,RI-0000053J,18
RC-1100023,RI-0000057J,8
RC-1100023,RI-0000052J,21
RC-1100023,RI-0000058J,19
RC-1100023,RI-0000059J,13
RC-1100023,RI-0000026D,30
RC-1100023,RI-0000006D,9
RC-1100023,RI-0000005D,5
RC-1100024,RI-0000001B,18
RC-1100024,RI-0000004C,29
RC-1100024,RI-0000002C,13
RC-1100024,RI-0000024H,19
RC-1100024,RI-0000022G,27
RC-1100024,RI-0000020G,17
RC-1100024,RI-0000021G,24
RC-1100024,RI-0000030I,6
RC-1100024,RI-0000029I,6
RC-1100024,RI-0000027I,23
RC-1100024,RI-0000028I,27
RC-1100024,RI-0000008F,17
RC-1100024,RI-0000011F,1
RC-1100024,RI-0000010F,11
RC-1100024,RI-0000052J,28
RC-1100024,RI-0000057J,1
RC-1100024,RI-0000058J,26
RC-1100024,RI-0000053J,8
RC-1100024,RI-0000060J,21
RC-1100025,RI-0000034I,26
RC-1100025,RI-0000028I,16
RC-1100025,RI-0000051I,18
RC-1100025,RI-0000039I,20
RC-1100025,RI-0000027I,29
RC-1100025,RI-0000049I,4
RC-1100025,RI-0000046I,13
RC-1100025,RI-0000033I,13
RC-1100025,RI-0000036I,7
RC-1100025,RI-0000042I,1
RC-1100025,RI-0000050I,17
RC-1100025,RI-0000048I,1
RC-1100025,RI-0000038I,30
RC-1100025,RI-0000047I,19
RC-1100025,RI-0000043I,20
RC-1100025,RI-0000044I,21
RC-1100025,RI-0000032I,9
RC-1100025,RI-0000037I,23
RC-1100025,RI-0000040I,27
RC-1100025,RI-0000041I,29
RC-1100025,RI-0000031I,6
RC-1100025,RI-0000045I,10
RC-1100025,RI-0000035I,15
RC-1100025,RI-0000030I,2
RC-1100025,RI-0000029I,9
RC-1100025,RI-0000024H,27
RC-1100025,RI-0000002C,9
RC-1100026,RI-0000006D,8
RC-1100026,RI-0000005D,12
RC-1100026,RI-0000026D,24
RC-1100026,RI-0000024H,13
RC-1100026,RI-0000025H,23
RC-1100026,RI-0000000A,23
RC-1100026,RI-0000029I,7
RC-1100026,RI-0000036I,24
RC-1100026,RI-0000033I,26
RC-1100026,RI-0000038I,4
RC-1100026,RI-0000047I,23
RC-1100026,RI-0000048I,11
RC-1100026,RI-0000028I,1
RC-1100026,RI-0000044I,2
RC-1100026,RI-0000045I,29
RC-1100026,RI-0000050I,17
RC-1100026,RI-0000032I,17
RC-1100026,RI-0000031I,3
RC-1100026,RI-0000039I,26
RC-1100026,RI-0000001B,25
RC-1100026,RI-0000003C,10
RC-1100026,RI-0000002C,29
RC-1100026,RI-0000060J,14
RC-1100026,RI-0000052J,6
RC-1100027,RI-0000045I,23
RC-1100027,RI-0000050I,5
RC-1100027,RI-0000048I,20
RC-1100027,RI-0000043I,17
RC-1100027,RI-0000044I,22
RC-1100027,RI-0000051I,13
RC-1100027,RI-0000028I,27
RC-1100027,RI-0000042I,29
RC-1100027,RI-0000030I,24
RC-1100027,RI-0000049I,1
RC-1100027,RI-0000038I,9
RC-1100027,RI-0000040I,17
RC-1100027,RI-0000047I,4
RC-1100027,RI-0000033I,7
RC-1100027,RI-0000034I,8
RC-1100027,RI-0000041I,26
RC-1100027,RI-0000036I,29
RC-1100027,RI-0000039I,10
RC-1100027,RI-0000046I,1
RC-1100027,RI-0000016E,6
RC-1100027,RI-0000017E,21
RC-1100027,RI-0000015E,22
RC-1100027,RI-0000012E,23
RC-1100027,RI-0000007E,12
RC-1100027,RI-0000013E,15
RC-1100027,RI-0000014E,25
RC-1100027,RI-0000018E,10
RC-1100027,RI-0000006D,9
RC-1100027,RI-0000001B,15
RC-1100028,RI-0000001B,19
RC-1100028,RI-0000058J,18
RC-1100028,RI-0000024H,24
RC-1100028,RI-0000025H,9
RC-1100028,RI-0000006D,8
RC-1100028,RI-0000015E,27
RC-1100028,RI-0000010F,16
RC-1100028,RI-0000008F,13
RC-1100028,RI-0000011F,9
RC-1100028,RI-0000003C,8
RC-1100028,RI-0000000A,27
RC-1100029,RI-0000001B,6
RC-1100029,RI-0000005D,12
RC-1100029,RI-0000006D,2
RC-1100029,RI-0000039I,16
RC-1100029,RI-0000049I,30
RC-1100030,RI-0000050I,7
RC-1100030,RI-0000042I,6
RC-1100030,RI-0000035I,1
RC-1100030,RI-0000048I,10
RC-1100030,RI-0000041I,12
RC-1100030,RI-0000040I,7
RC-1100030,RI-0000044I,11
RC-1100030,RI-0000029I,2
RC-1100030,RI-0000045I,14
RC-1100030,RI-0000047I,3
RC-1100030,RI-0000032I,2
RC-1100030,RI-0000027I,1
RC-1100030,RI-0000051I,14
RC-1100030,RI-0000033I,20
RC-1100030,RI-0000028I,5
RC-1100030,RI-0000030I,7
RC-1100030,RI-0000043I,22
RC-1100030,RI-0000034I,8
RC-1100030,RI-0000039I,14
RC-1100030,RI-0000037I,9
RC-1100030,RI-0000036I,15
RC-1100030,RI-0000038I,19
RC-1100030,RI-0000046I,21
RC-1100030,RI-0000031I,9
RC-1100031,RI-0000026D,14
RC-1100031,RI-0000006D,4
RC-1100031,RI-0000005D,20
RC-1100031,RI-0000003C,14
RC-1100031,RI-0000002C,27
RC-1100032,RI-0000052J,23
RC-1100032,RI-0000055J,14
RC-1100032,RI-0000058J,9
RC-1100032,RI-0000059J,19
RC-1100032,RI-0000057J,28
RC-1100032,RI-0000003C,23
RC-1100032,RI-0000004C,21
RC-1100033,RI-0000055J,6
RC-1100033,RI-0000059J,12
RC-1100033,RI-0000056J,21
RC-1100033,RI-0000057J,23
RC-1100033,RI-0000052J,9
RC-1100033,RI-0000058J,8
RC-1100033,RI-0000005D,3
RC-1100033,RI-0000006D,9
RC-1100033,RI-0000016E,6
RC-1100033,RI-0000015E,17
RC-1100033,RI-0000025H,12
RC-1100033,RI-0000024H,28
RC-1100034,RI-0000004C,1
RC-1100034,RI-0000003C,11
RC-1100034,RI-0000022G,16
RC-1100034,RI-0000026D,12
RC-1100034,RI-0000005D,24
RC-1100034,RI-0000006D,24
RC-1100034,RI-0000000A,6
RC-1100034,RI-0000053J,24
RC-1100034,RI-0000057J,14
RC-1100034,RI-0000060J,11
RC-1100034,RI-0000058J,5
RC-1100034,RI-0000056J,2
RC-1100034,RI-0000001B,15
RC-1100034,RI-0000025H,13
RC-1100034,RI-0000029I,17
RC-1100034,RI-0000044I,20
RC-1100034,RI-0000040I,23
RC-1100034,RI-0000027I,11
RC-1100034,RI-0000043I,12
RC-1100034,RI-0000039I,26
RC-1100034,RI-0000041I,27
RC-1100034,RI-0000050I,28
RC-1100034,RI-0000047I,11
RC-1100034,RI-0000048I,1
RC-1100034,RI-0000037I,6
RC-1100034,RI-0000045I,27
RC-1100034,RI-0000038I,7
RC-1100034,RI-0000035I,8
RC-1100034,RI-0000031I,14
RC-1100034,RI-0000046I,3
RC-1100034,RI-0000033I,4
RC-1100034,RI-0000042I,13
RC-1100034,RI-0000036I,8
RC-1100034,RI-0000028I,15
RC-1100034,RI-0000051I,9
RC-1100034,RI-0000049I,19
RC-1100034,RI-0000034I,21
RC-1100035,RI-0000025H,29
RC-1100035,RI-0000024H,22
RC-1100036,RI-0000050I,16
RC-1100036,RI-0000041I,17
RC-1100036,RI-0000028I,20
RC-1100036,RI-0000038I,21
RC-1100036,RI-0000039I,29
RC-1100036,RI-0000046I,17
RC-1100036,RI-0000027I,19
RC-1100036,RI-0000031I,26
RC-1100036,RI-0000033I,12
RC-1100036,RI-0000044I,22
RC-1100036,RI-0000043I,11
RC-1100036,RI-0000037I,5
RC-1100036,RI-0000032I,14
RC-1100036,RI-0000035I,26
RC-1100036,RI-0000036I,8
RC-1100036,RI-0000034I,7
RC-1100036,RI-0000045I,17
RC-1100036,RI-0000029I,6
RC-1100036,RI-0000025H,6
RC-1100036,RI-0000001B,25
RC-1100036,RI-0000019G,4
RC-1100036,RI-0000021G,19
RC-1100036,RI-0000022G,19
RC-1100036,RI-0000023G,4
RC-1100036,RI-0000002C,16
RC-1100036,RI-0000003C,7
RC-1100036,RI-0000004C,14
RC-1100036,RI-0000010F,15
RC-1100036,RI-0000008F,25
RC-1100036,RI-0000026D,17
RC-1100036,RI-0000006D,7
RC-1100036,RI-0000005D,26
RC-1100036,RI-0000007E,28
RC-1100036,RI-0000018E,5
RC-1100036,RI-0000017E,27
RC-1100036,RI-0000013E,23
RC-1100036,RI-0000012E,24
RC-1100036,RI-0000052J,8
RC-1100036,RI-0000058J,16
RC-1100036,RI-0000057J,30
RC-1100036,RI-0000054J,24
RC-1100036,RI-0000053J,10
RC-1100036,RI-0000060J,21
RC-1100036,RI-0000000A,7
RC-1100037,RI-0000037I,6
RC-1100037,RI-0000042I,22
RC-1100037,RI-0000041I,25
RC-1100037,RI-0000040I,24
RC-1100037,RI-0000049I,8
RC-1100037,RI-0000050I,15
RC-1100037,RI-0000048I,1
RC-1100037,RI-0000030I,22
RC-1100037,RI-0000032I,9
RC-1100037,RI-0000028I,26
RC-1100037,RI-0000047I,1
RC-1100037,RI-0000051I,5
RC-1100037,RI-0000034I,17
RC-1100037,RI-0000029I,27
RC-1100037,RI-0000033I,4
RC-1100037,RI-0000035I,18
RC-1100037,RI-0000039I,8
RC-1100037,RI-0000038I,14
RC-1100037,RI-0000043I,12
RC-1100037,RI-0000036I,22
RC-1100037,RI-0000011F,24
RC-1100037,RI-0000008F,28
RC-1100037,RI-0000009F,29
RC-1100037,RI-0000025H,20
RC-1100037,RI-0000022G,22
RC-1100037,RI-0000023G,21
RC-1100037,RI-0000019G,21
RC-1100037,RI-0000020G,3
RC-1100037,RI-0000016E,12
RC-1100037,RI-0000026D,17
RC-1100037,RI-0000001B,11
RC-1100038,RI-0000004C,1
RC-1100038,RI-0000002C,25
RC-1100038,RI-0000000A,15
RC-1100038,RI-0000008F,26
RC-1100038,RI-0000026D,27
RC-1100038,RI-0000006D,8
RC-1100038,RI-0000005D,27
RC-1100038,RI-0000027I,13
RC-1100038,RI-0000033I,19
RC-1100038,RI-0000028I,3
RC-1100038,RI-0000041I,29
RC-1100038,RI-0000059J,5
RC-1100038,RI-0000057J,24
RC-1100038,RI-0000025H,20
RC-1100038,RI-0000024H,20
RC-1100039,RI-0000011F,17
RC-1100039,RI-0000009F,1
RC-1100039,RI-0000017E,22
RC-1100039,RI-0000014E,22
RC-1100039,RI-0000024H,13
RC-1100039,RI-0000036I,4
RC-1100039,RI-0000031I,30
RC-1100039,RI-0000047I,28
RC-1100039,RI-0000037I,9
RC-1100039,RI-0000029I,5
RC-1100039,RI-0000052J,15
RC-1100039,RI-0000057J,1
RC-1100039,RI-0000059J,20
RC-1100039,RI-0000021G,6
RC-1100039,RI-0000022G,3
RC-1100039,RI-0000020G,1
RC-1100039,RI-0000023G,27
RC-1100039,RI-0000019G,4
RC-1100039,RI-0000002C,24
RC-1100039,RI-0000003C,8
RC-1100040,RI-0000013E,11
RC-1100040,RI-0000018E,19
RC-1100040,RI-0000014E,15
RC-1100040,RI-0000033I,14
RC-1100040,RI-0000032I,27
RC-1100040,RI-0000028I,24
RC-1100040,RI-0000050I,12
RC-1100040,RI-0000030I,10
RC-1100040,RI-0000027I,8
RC-1100040,RI-0000038I,23
RC-1100040,RI-0000041I,11
RC-1100040,RI-0000043I,25
RC-1100040,RI-0000042I,12
RC-1100040,RI-0000011F,15
RC-1100040,RI-0000008F,27
RC-1100040,RI-0000009F,15
RC-1100041,RI-0000001B,29
RC-1100041,RI-0000005D,15
RC-1100041,RI-0000009F,30
RC-1100041,RI-0000010F,1
RC-1100041,RI-0000015E,25
RC-1100041,RI-0000013E,18
RC-1100041,RI-0000016E,27
RC-1100041,RI-0000017E,18
RC-1100041,RI-0000014E,23
RC-1100041,RI-0000012E,7
RC-1100041,RI-0000018E,15
RC-1100042,RI-0000021G,11
RC-1100042,RI-0000044I,13
RC-1100042,RI-0000045I,22
RC-1100042,RI-0000033I,13
RC-1100042,RI-0000038I,30
RC-1100042,RI-0000043I,7
RC-1100042,RI-0000050I,28
RC-1100042,RI-0000040I,13
RC-1100042,RI-0000042I,2
RC-1100042,RI-0000027I,3
RC-1100043,RI-0000015E,16
RC-1100043,RI-0000014E,29
RC-1100043,RI-0000013E,11
RC-1100043,RI-0000016E,1
RC-1100043,RI-0000017E,1
RC-1100043,RI-0000000A,19
RC-1100043,RI-0000022G,3
RC-1100043,RI-0000023G,22
RC-1100043,RI-0000019G,15
RC-1100043,RI-0000020G,27
RC-1100044,RI-0000021G,6
RC-1100044,RI-0000020G,7
RC-1100044,RI-0000009F,3
RC-1100044,RI-0000011F,24
RC-1100045,RI-0000027I,26
RC-1100045,RI-0000045I,25
RC-1100045,RI-0000033I,15
RC-1100045,RI-0000040I,30
RC-1100045,RI-0000037I,8
RC-1100045,RI-0000039I,6
RC-1100045,RI-0000032I,1
RC-1100045,RI-0000044I,19
RC-1100045,RI-0000035I,30
RC-1100045,RI-0000029I,1
RC-1100045,RI-0000048I,21
RC-1100045,RI-0000028I,7
RC-1100045,RI-0000036I,10
RC-1100045,RI-0000046I,22
RC-1100045,RI-0000043I,25
RC-1100045,RI-0000049I,8
RC-1100045,RI-0000050I,8
RC-1100045,RI-0000031I,8
RC-1100045,RI-0000030I,11
RC-1100045,RI-0000041I,21
RC-1100045,RI-0000051I,22
RC-1100045,RI-0000034I,21
RC-1100045,RI-0000047I,24
RC-1100045,RI-0000042I,1
RC-1100045,RI-0000018E,21
RC-1100045,RI-0000016E,26
RC-1100045,RI-0000009F,22
RC-1100045,RI-0000010F,26
RC-1100045,RI-0000008F,30
RC-1100045,RI-0000011F,29
RC-1100045,RI-0000001B,30
RC-1100045,RI-0000024H,22
RC-1100046,RI-0000025H,22
RC-1100046,RI-0000024H,17
RC-1100046,RI-0000020G,26
