city,state,population_size
Urumqi,China,3029372
Shijiazhuang,China,2834942
Lanzhou,China,2628426
Yunfu,China,2612800
Nanchang,China,2357839
Dadonghai,China,2000000
Ordos,China,1940653
Jilin,China,1881977
Bayan Nur,China,1760000
Kunshan,China,1600000
Xinyang,China,1590668
Fushun,China,1400646
Luoyang,China,1390581
Guankou,China,1380000
Handan,China,1358318
Baotou,China,1301768
Xuchang,China,1265536
Yueyang,China,1200000
Anshan,China,1199275
Tongshan,China,1199193
Fuzhou,China,1179720
Guiyang,China,1171633
Lijiang,China,1137600
Datong,China,1052678
Changshu City,China,1047700
Xianyang,China,1034081
Huainan,China,1027655
Jieyang,China,1001985
Zhu Cheng City,China,1000000
Baoding,China,995652
Benxi,China,987717
Changzhou,China,949018
Huaibei,China,903039
Kaifeng,China,900000
Pingdingshan,China,889675
Qiqihar,China,882364
Wenzhou,China,865672
Zhabei,China,840000
Nanning,China,803788
Anyang,China,781129
Hohhot,China,774477
Shangyu,China,770000
Xining,China,767531
Qinhuangdao,China,759718
Hengyang,China,759602
Xinxiang,China,743601
Hegang,China,743307
Langfang,China,720119
Zhumadian,China,720000
Yantai,China,719332
Zhuzhou,China,709358
Changzhi,China,699514
Zhangjiakou,China,692602
Zigong,China,689961
Fuxin,China,689050
Huangshi,China,688090
Liaoyang,China,687890
Xiangtan,China,674189
Puyang Chengguanzhen,China,666322
Nantong,China,666251
Mudanjiang,China,665915
Guilin,China,649352
Zhanjiang,China,637790
Zhenjiang,China,632552
Dandong,China,631973
Shaoguan,China,628749
Yancheng,China,628441
Panshan,China,625040
Haikou,China,615835
Taizhou,China,612356
Xingtai,China,611739
Jinzhou,China,604269
Shuangyashan,China,600000
Luancheng,China,597130
Yingkou,China,591159
Zhangzhou,China,589831
Bengbu,China,576648
Shihezi,China,572772
Siping,China,555609
Huai'an,China,555230
Jiamusi,China,549549
Neijiang,China,546854
Yangzhou,China,539715
Guli,China,536000
Tanggu,China,535298
Jiangmen,China,532419
Cangzhou,China,527681
Changde,China,517780
Jiaozuo,China,517540
Tonghua,China,510000
Wuhu,China,507524
Zhuhai,China,501199
Shashi,China,498780
Wuwei,China,493092
Qionghai,China,480000
Yichang,China,476725
Yinchuan,China,475101
Jiaojiang,China,470804
Zunyi,China,466292
Jiaxing,China,466101
Liaoyuan,China,465249
Xiangyang,China,462956
Dadukou,China,461513
Hengshui,China,456356
Jining,China,450327
Wenshan City,China,450000
Chengde,China,449325
Bei'an,China,436444
Luqiao,China,427890
Chaozhou,China,424787
Shaoxing,China,421283
Luohe,China,417356
Yangquan,China,413394
Chaoyang,China,410005
Jixi,China,403759
Yangjiang,China,399735
Weifang,China,394732
Xinpu,China,392444
Dezhou,China,379555
Zhoukou,China,377061
Putian,China,376558
Zhangjiakou Shi Xuanhua Qu,China,373422
Pingxiang,China,372123
Fenghuang,China,370000
Zhaoqing,China,361969
Huocheng,China,360000
Anqing,China,358661
Anshun,China,351936
Chifeng,China,346654
Taihecun,China,345033
Shiqi,China,342306
Aksu,China,340020
Tieling,China,333907
Jincheng,China,332650
Yanji,China,326957
Suizhou,China,323945
Shangrao,China,318769
Baicheng,China,316970
Lianshan,China,313247
Wusong,China,312588
Jingdezhen,China,310565
Shengli,China,306450
Yangshuo,China,300000
Xinyuan,China,300000
Xiuying,China,290000
Beihai,China,289568
Huizhou,China,289201
Chuzhou,China,280582
Kashgar,China,274717
Linyi,China,270669
Chengzhong,China,265886
Wuzhou,China,265846
Hulan Ergi,China,265344
Mianyang,China,264136
Tongliao,China,261110
Aral,China,260000
Karamay,China,260000
Jiujiang,China,258807
Jining,China,258757
Turpan,China,254900
Heze,China,254602
Laohekou,China,253112
Suihua,China,252245
Liupanshui,China,251900
Nanyang,China,251532
Wafangdian,China,250591
Rizhao,China,246387
Ji'an,China,245000
Hebi,China,244662
Huayin,China,242488
Yibin,China,242111
Xiantao,China,239406
Yuci,China,235929
Linfen,China,232566
Liaocheng,China,226930
Fendou,China,226298
Huanggang,China,225956
Jingling,China,224871
Tongchuanshi,China,223603
Xintai,China,222459
Wuxue,China,220661
Wuhai,China,218427
Jinzhou,China,215386
Guangyuan,China,213365
Hailar,China,211066
Daliang,China,210411
Sanming,China,209444
Hangu,China,208369
Suzhou,China,205130
Gaoping,China,204368
Daqing,China,203488
Yiyang,China,202608
Linxia Chengguanzhen,China,202402
Yuncheng,China,201950
Changji,China,198776
Kaiyuan,China,198423
Mentougou,China,197772
Xinhui,China,195129
Ezhou,China,193652
Humen,China,191891
Haicheng,China,191651
Zoucheng,China,190537
Wanxian,China,188980
Donghai,China,188602
Baiyin,China,188533
Laizhou,China,188000
Zaoyang,China,184509
Quanzhou,China,184143
Baishan,China,183880
Zaozhuang,China,183665
Anda,China,181271
Shangqiu,China,181218
Xianning,China,179494
Korla,China,179465
Qianjiang,China,179079
Chenzhou,China,179038
Jingzhou,China,177878
Zhenzhou,China,176006
Xindi,China,175761
Jiutai,China,175115
Bozhou,China,174140
Licheng,China,172775
Weinan,China,172321
Nanping,China,171674
Dongling,China,171454
Fuyang,China,170023
Laiyang,China,169594
Jingmen,China,167750
Fuling,China,166507
Gaozhou,China,166069
Ulanhot,China,165846
Shanwei,China,165699
Jiaozhou,China,165026
Fendou,China,164844
Tongzhou,China,163326
Anbu,China,162964
Xiaogan,China,160437
Qapqal,China,160000
Zhicheng,China,159383
Huzhou,China,158320
Nanpiao,China,157044
Yichun,China,155762
Lianghu,China,155000
Beipiao,China,154999
Guangshui,China,154771
Leshan,China,154477
Zhaodong,China,154406
Xinzhou,China,154003
Sanshui,China,153714
Boshan,China,153596
Yangchun,China,153547
Linhai,China,152937
Dingzhou,China,152934
Weihai,China,152595
Chenghua,China,152453
Deyang,China,152194
Yichun,China,152169
Longfeng,China,152074
Qingyuan,China,151287
Gaomi,China,150793
Loudi,China,150684
Huangyan,China,150448
Dunhua,China,148844
Yulin,China,148485
Chizhou,China,148375
Sujiatun,China,148113
Honggang,China,147977
Qujing,China,146015
Hanzhong,China,145986
Xinji,China,145911
Taishan,China,145440
Sanya,China,144753
Acheng,China,144665
Jinchang,China,144363
Meizhou,China,144212
Jinhua,China,142206
Jieshou,China,141993
Gongzhuling,China,140909
Shanhaiguan,China,140000
Altay,China,139341
Huadian,China,139047
Fuyu,China,138704
Chaohu,China,138463
Jieshi,China,137444
Jiashan,China,137112
Hami,China,137072
Shizuishan,China,136570
Gejiu,China,136135
Jiagedaqi,China,135760
Shiqiao,China,135308
Dali,China,134040
Puqi,China,132891
Ankang,China,132654
Zhalantun,China,132224
Dawukou,China,131880
Majie,China,131696
Hepo,China,131238
Dazhou,China,130749
Shuangcheng,China,130710
Dongyang,China,130387
Jiazi,China,130298
Songjiang,China,130218
Shangri La,China,130000
Wuda,China,129922
Leiyang,China,129116
Xuanzhou,China,127758
Huaihua,China,127322
Jiangyou,China,127225
Xichang,China,126787
