City,Country,Population,Min. Latitude,Max. Latitude,Min. Longitude,Max. Longitude
Orenburg,Russia,572188,69.725844,71.009253,103.55067,110.946518
Kemerovo,Russia,556382,71.009254,72.292663,110.946519,118.342366
Novokuznetsk,Russia,549403,72.292664,73.576073,118.342367,125.738214
Ryazan,Russia,539290,73.576074,74.859483,125.738215,133.134062
Naberezhnye Chelny,Russia,533839,74.859484,76.142893,133.134063,140.52991
Astrakhan,Russia,529793,76.142894,77.426304,140.529911,147.925758
Penza,Russia,520300,55.608334,56.891743,147.925759,155.321606
Kirov,Russia,518348,56.891744,58.175153,155.321607,162.717454
Lipetsk,Russia,508573,58.175154,59.458563,162.717455,170.113302
Balashikha,Russia,507366,59.458564,60.741973,170.113303,177.509152
Cheboksary,Russia,497618,60.741974,62.025383,36.988038,44.383885
Kaliningrad,Russia,489359,62.025384,63.308793,44.383886,51.779733
Tula,Russia,475161,63.308794,64.592203,51.779734,59.175581
Kursk,Russia,452976,64.592204,65.875613,59.175582,66.571429
Stavropol,Russia,450680,65.875614,67.159023,66.57143,73.967277
Sochi,Russia,443562,67.159024,68.442433,73.967278,81.363125
Ulan-Ude,Russia,439128,68.442434,69.725843,81.363126,88.758973
Tver,Russia,425072,69.725844,71.009253,88.758974,96.154821
Magnitogorsk,Russia,413253,71.009254,72.292663,96.154822,103.550669
Ivanovo,Russia,404598,72.292664,73.576073,103.55067,110.946518
Sevastopol,Russia,403893,73.576074,74.859483,110.946519,118.342366
Bryansk,Russia,402675,74.859484,76.142893,118.342367,125.738214
Belgorod,Russia,394142,76.142894,77.426304,125.738215,133.134062
Surgut,Russia,380632,55.608334,56.891743,133.134063,140.52991
Vladimir,Russia,356937,56.891744,58.175153,140.529911,147.925758
Chita,Russia,351784,58.175154,59.458563,147.925759,155.321606
Nizhny Tagil,Russia,349008,59.458564,60.741973,155.321607,162.717454
Arkhangelsk,Russia,346979,60.741974,62.025383,162.717455,170.113302
Simferopol,Russia,342054,62.025384,63.308793,170.113303,177.509152
Kaluga,Russia,332039,63.308794,64.592203,36.988038,44.383885
Smolensk,Russia,325495,64.592204,65.875613,44.383886,51.779733
Volzhsky,Russia,323906,65.875614,67.159023,51.779734,59.175581
Yakutsk,Russia,322987,67.159024,68.442433,59.175582,66.571429
Saransk,Russia,320612,68.442434,69.725843,66.57143,73.967277
Cherepovets,Russia,314834,69.725844,71.009253,73.967278,81.363125
Kurgan,Russia,312364,71.009254,72.292663,81.363126,88.758973
Vologda,Russia,310302,72.292664,73.576073,88.758974,96.154821
Oryol,Russia,308838,73.576074,74.859483,96.154822,103.550669
Podolsk,Russia,308130,74.859484,76.142893,103.55067,110.946518
Grozny,Russia,305911,76.142894,77.426304,110.946519,118.342366
Vladikavkaz,Russia,303597,55.608334,56.891743,118.342367,125.738214
Tambov,Russia,292140,56.891744,58.175153,125.738215,133.134062
Murmansk,Russia,287847,58.175154,59.458563,133.134063,140.52991
Petrozavodsk,Russia,281023,59.458564,60.741973,140.529911,147.925758
Nizhnevartovsk,Russia,277668,60.741974,62.025383,147.925759,155.321606
Kostroma,Russia,276929,62.025384,63.308793,155.321607,162.717454
Sterlitamak,Russia,276394,63.308794,64.592203,162.717455,170.113302
Novorossiysk,Russia,274956,64.592204,65.875613,170.113303,177.509152
Yoshkar-Ola,Russia,274715,65.875614,67.159023,36.988038,44.383885
Khimki,Russia,259550,67.159024,68.442433,44.383886,51.779733
Taganrog,Russia,248643,68.442434,69.725843,51.779734,59.175581
Komsomolsk-on-Amur,Russia,244768,69.725844,71.009253,59.175582,66.571429
Syktyvkar,Russia,244403,71.009254,72.292663,66.57143,73.967277
Nizhnekamsk,Russia,240020,72.292664,73.576073,73.967278,81.363125
Nalchik,Russia,239583,73.576074,74.859483,81.363126,88.758973
Mytishchi,Russia,235504,74.859484,76.142893,88.758974,96.154821
Shakhty,Russia,230262,76.142894,77.426304,96.154822,103.550669
Dzerzhinsk,Russia,229000,55.608334,56.891743,103.55067,110.946518
Engels,Russia,227049,56.891744,58.175153,110.946519,118.342366
Orsk,Russia,226502,58.175154,59.458563,118.342367,125.738214
Blagoveshchensk,Russia,226385,59.458564,60.741973,125.738215,133.134062
Bratsk,Russia,226269,60.741974,62.025383,133.134063,140.52991
Korolyov,Russia,225858,62.025384,63.308793,140.529911,147.925758
Veliky Novgorod,Russia,224936,63.308794,64.592203,147.925759,155.321606
Angarsk,Russia,224630,64.592204,65.875613,155.321607,162.717454
Stary Oskol,Russia,223921,65.875614,67.159023,162.717455,170.113302
Pskov,Russia,210340,67.159024,68.442433,170.113303,177.509152
Lyubertsy,Russia,205295,68.442434,69.725843,36.988038,44.383885
Yuzhno-Sakhalinsk,Russia,200636,69.725844,71.009253,44.383886,51.779733
Biysk,Russia,199464,71.009254,72.292663,51.779734,59.175581
Prokopyevsk,Russia,190334,72.292664,73.576073,59.175582,66.571429
Armavir,Russia,188960,73.576074,74.859483,66.57143,73.967277
Balakovo,Russia,187523,74.859484,76.142893,73.967278,81.363125
Abakan,Russia,186797,76.142894,77.426304,81.363126,88.758973
Rybinsk,Russia,184635,55.608334,56.891743,88.758974,96.154821
Severodvinsk,Russia,181990,56.891744,58.175153,96.154822,103.550669
Norilsk,Russia,181830,58.175154,59.458563,103.55067,110.946518
Petropavlovsk-Kamchatsky,Russia,179586,59.458564,60.741973,110.946519,118.342366
Krasnogorsk,Russia,175554,60.741974,62.025383,118.342367,125.738214
Ussuriysk,Russia,173640,62.025384,63.308793,125.738215,133.134062
Volgodonsk,Russia,171406,63.308794,64.592203,133.134063,140.52991
Novocherkassk,Russia,168035,64.592204,65.875613,140.529911,147.925758
Syzran,Russia,167160,65.875614,67.159023,147.925759,155.321606
Kamensk-Uralsky,Russia,166086,67.159024,68.442433,155.321607,162.717454
Zlatoust,Russia,163919,68.442434,69.725843,162.717455,170.113302
Almetyevsk,Russia,158429,69.725844,71.009253,170.113303,177.509152
Elektrostal,Russia,156026,71.009254,72.292663,36.988038,44.383885
Kerch,Russia,151548,72.292664,73.576073,44.383886,51.779733
Miass,Russia,151472,73.576074,74.859483,51.779734,59.175581
Salavat,Russia,150500,74.859484,76.142893,59.175582,66.571429
Pyatigorsk,Russia,147861,76.142894,77.426304,66.57143,73.967277
Kopeysk,Russia,147634,55.608334,56.891743,73.967278,81.363125
Nakhodka,Russia,145159,56.891744,58.175153,81.363126,88.758973
Khasavyurt,Russia,145109,58.175154,59.458563,88.758974,96.154821
Rubtsovsk,Russia,141584,59.458564,60.741973,96.154822,103.550669
Maykop,Russia,141475,60.741974,62.025383,103.55067,110.946518
Kolomna,Russia,140129,62.025384,63.308793,110.946519,118.342366
Berezniki,Russia,139209,63.308794,64.592203,118.342367,125.738214
Domodedovo,Russia,137160,64.592204,65.875613,125.738215,133.134062
Kovrov,Russia,135715,65.875614,67.159023,133.134063,140.52991
Odintsovo,Russia,135506,67.159024,68.442433,140.529911,147.925758
Neftekamsk,Russia,131138,68.442434,69.725843,147.925759,155.321606
Kislovodsk,Russia,128779,69.725844,71.009253,155.321607,162.717454
Bataysk,Russia,127919,71.009254,72.292663,162.717455,170.113302
Nefteyugansk,Russia,127255,72.292664,73.576073,170.113303,177.509152
Novocheboksarsk,Russia,127226,73.576074,74.859483,36.988038,44.383885
Serpukhov,Russia,126273,74.859484,76.142893,44.383886,51.779733
Shchyolkovo,Russia,126109,76.142894,77.426304,51.779734,59.175581
Derbent,Russia,125832,55.608334,56.891743,59.175582,66.571429
Kaspiysk,Russia,123988,56.891744,58.175153,66.57143,73.967277
Cherkessk,Russia,123168,58.175154,59.458563,73.967278,81.363125
Novomoskovsk,Russia,122306,59.458564,60.741973,81.363126,88.758973
Nazran,Russia,122261,60.741974,62.025383,88.758974,96.154821
Ramenskoye,Russia,121908,62.025384,63.308793,96.154822,103.550669
Pervouralsk,Russia,120778,63.308794,64.592203,103.55067,110.946518
Kyzyl,Russia,119438,64.592204,65.875613,110.946519,118.342366
Orekhovo-Zuyevo,Russia,118309,65.875614,67.159023,118.342367,125.738214
Novy Urengoy,Russia,118033,67.159024,68.442433,125.738215,133.134062
Obninsk,Russia,117419,68.442434,69.725843,133.134063,140.52991
Nevinnomyssk,Russia,116751,69.725844,71.009253,140.529911,147.925758
Dolgoprudny,Russia,116038,71.009254,72.292663,147.925759,155.321606
Oktyabrsky,Russia,114100,72.292664,73.576073,155.321607,162.717454
Dimitrovgrad,Russia,113472,73.576074,74.859483,162.717455,170.113302
Yessentuki,Russia,113056,74.859484,76.142893,170.113303,177.509152
Kamyshin,Russia,109910,76.142894,77.426304,36.988038,44.383885
Yevpatoria,Russia,108248,55.608334,56.891743,44.383886,51.779733
Reutov,Russia,108054,56.891744,58.175153,51.779734,59.175581
Pushkino,Russia,107580,58.175154,59.458563,59.175582,66.571429
Zhukovsky,Russia,107560,59.458564,60.741973,66.57143,73.967277
Murom,Russia,106984,60.741974,62.025383,73.967278,81.363125
Noyabrsk,Russia,106911,62.025384,63.308793,81.363126,88.758973
Novoshakhtinsk,Russia,106534,63.308794,64.592203,88.758974,96.154821
Seversk,Russia,106516,64.592204,65.875613,96.154822,103.550669
Artyom,Russia,105675,65.875614,67.159023,103.55067,110.946518
Achinsk,Russia,105531,67.159024,68.442433,110.946519,118.342366
Berdsk,Russia,104334,68.442434,69.725843,118.342367,125.738214
Arzamas,Russia,103979,69.725844,71.009253,125.738215,133.134062
Noginsk,Russia,103967,71.009254,72.292663,133.134063,140.52991
Elista,Russia,103122,72.292664,73.576073,140.529911,147.925758
Yelets,Russia,102313,73.576074,74.859483,147.925759,155.321606
Khanty-Mansiysk,Russia,101466,74.859484,76.142893,155.321607,162.717454
Novokuybyshevsk,Russia,100455,76.142894,77.426304,162.717455,170.113302
Zheleznogorsk,Russia,100446,55.608334,56.891743,170.113303,177.509152
Sergiyev Posad,Russia,100335,56.891744,58.175153,36.988038,44.383885
Zelenodolsk,Russia,100039,58.175154,59.458563,44.383886,51.779733
Tobolsk,Russia,98932,59.458564,60.741973,51.779734,59.175581
Votkinsk,Russia,97244,60.741974,62.025383,59.175582,66.571429
Mezhdurechensk,Russia,96299,62.025384,63.308793,66.57143,73.967277
Sarov,Russia,96052,63.308794,64.592203,73.967278,81.363125
Serov,Russia,95861,64.592204,65.875613,81.363126,88.758973
Mikhaylovsk,Russia,95721,65.875614,67.159023,88.758974,96.154821
Sarapul,Russia,95355,67.159024,68.442433,96.154822,103.550669
Leninsk-Kuznetsky,Russia,94398,68.442434,69.725843,103.55067,110.946518
Ukhta,Russia,93716,69.725844,71.009253,110.946519,118.342366
Voskresensk,Russia,92911,71.009254,72.292663,118.342367,125.738214
Solikamsk,Russia,92602,72.292664,73.576073,125.738215,133.134062
Glazov,Russia,92334,73.576074,74.859483,133.134063,140.52991
Magadan,Russia,92052,74.859484,76.142893,140.529911,147.925758
Gatchina,Russia,91685,76.142894,77.426304,147.925759,155.321606
Velikiye Luki,Russia,90922,55.608334,56.891743,155.321607,162.717454
Michurinsk,Russia,90722,56.891744,58.175153,162.717455,170.113302
Lobnya,Russia,90231,58.175154,59.458563,170.113303,177.509152
Kansk,Russia,88917,59.458564,60.741973,36.988038,44.383885
Anapa,Russia,88879,60.741974,62.025383,44.383886,51.779733
Kamensk-Shakhtinsky,Russia,87760,62.025384,63.308793,51.779734,59.175581
Kiselyovsk,Russia,86573,63.308794,64.592203,59.175582,66.571429
Gubkin,Russia,86229,64.592204,65.875613,66.57143,73.967277
Buzuluk,Russia,86103,65.875614,67.159023,73.967278,81.363125
Novotroitsk,Russia,83647,67.159024,68.442433,81.363126,88.758973
Yeysk,Russia,83094,68.442434,69.725843,88.758974,96.154821
Zheleznogorsk,Russia,82591,69.725844,71.009253,96.154822,103.550669
Bugulma,Russia,82488,71.009254,72.292663,103.55067,110.946518
Chaykovsky,Russia,82382,72.292664,73.576073,110.946519,118.342366
Ivanteyevka,Russia,81254,73.576074,74.859483,118.342367,125.738214
Kineshma,Russia,80950,74.859484,76.142893,125.738215,133.134062
Yurga,Russia,80840,76.142894,77.426304,133.134063,140.52991
Kuznetsk,Russia,80497,55.608334,56.891743,140.529911,147.925758
Azov,Russia,80428,56.891744,58.175153,147.925759,155.321606
Ust-Ilimsk,Russia,80419,58.175154,59.458563,155.321607,162.717454
Novouralsk,Russia,80357,59.458564,60.741973,162.717455,170.113302
Klin,Russia,79715,60.741974,62.025383,170.113303,177.509152
Yalta,Russia,79056,62.025384,63.308793,36.988038,44.383885
Ozyorsk,Russia,78440,63.308794,64.592203,44.383886,51.779733
Kropotkin,Russia,77655,64.592204,65.875613,51.779734,59.175581
Vidnoye,Russia,77018,65.875614,67.159023,59.175582,66.571429
Bor,Russia,76872,67.159024,68.442433,66.57143,73.967277
Gelendzhik,Russia,76783,68.442434,69.725843,73.967278,81.363125
Usolye-Sibirskoye,Russia,76047,69.725844,71.009253,81.363126,88.758973
Balashov,Russia,75773,71.009254,72.292663,88.758974,96.154821
Chernogorsk,Russia,75419,72.292664,73.576073,96.154822,103.550669
Vyborg,Russia,75355,73.576074,74.859483,103.55067,110.946518
Dubna,Russia,74985,74.859484,76.142893,110.946519,118.342366
Vsevolozhsk,Russia,74724,76.142894,77.426304,118.342367,125.738214
Shadrinsk,Russia,74652,55.608334,56.891743,125.738215,133.134062
Novoaltaysk,Russia,74556,56.891744,58.175153,133.134063,140.52991
Yelabuga,Russia,73962,58.175154,59.458563,140.529911,147.925758
Mineralnye Vody,Russia,73925,59.458564,60.741973,147.925759,155.321606
Troitsk,Russia,73421,60.741974,62.025383,155.321607,162.717454
Yegoryevsk,Russia,72763,62.025384,63.308793,162.717455,170.113302
Verkhnyaya Pyshma,Russia,72688,63.308794,64.592203,170.113303,177.509152
Chekhov,Russia,72321,64.592204,65.875613,36.988038,44.383885
Birobidzhan,Russia,71843,65.875614,67.159023,44.383886,51.779733
Chapayevsk,Russia,71720,67.159024,68.442433,51.779734,59.175581
Belovo,Russia,71240,68.442434,69.725843,59.175582,66.571429
Kirovo-Chepetsk,Russia,69835,69.725844,71.009253,66.57143,73.967277
Dmitrov,Russia,68792,71.009254,72.292663,73.967278,81.363125
Tuymazy,Russia,68246,72.292664,73.576073,81.363126,88.758973
Anzhero-Sudzhensk,Russia,68116,73.576074,74.859483,88.758974,96.154821
Feodosia,Russia,68001,74.859484,76.142893,96.154822,103.550669
Slavyansk-na-Kubani,Russia,67919,76.142894,77.426304,103.55067,110.946518
Minusinsk,Russia,67912,55.608334,56.891743,110.946519,118.342366
Kstovo,Russia,67797,56.891744,58.175153,118.342367,125.738214
Kogalym,Russia,67727,58.175154,59.458563,125.738215,133.134062
Sosnovy Bor,Russia,67720,59.458564,60.741973,133.134063,140.52991
Georgiyevsk,Russia,66436,60.741974,62.025383,140.529911,147.925758
Sunzha,Russia,66344,62.025384,63.308793,147.925759,155.321606
Stupino,Russia,65908,63.308794,64.592203,155.321607,162.717454
Buynaksk,Russia,65658,64.592204,65.875613,162.717455,170.113302
Zarechny,Russia,65502,65.875614,67.159023,170.113303,177.509152
Belogorsk,Russia,65315,67.159024,68.442433,36.988038,44.383885
Murino,Russia,64939,68.442434,69.725843,44.383886,51.779733
Beloretsk,Russia,64921,69.725844,71.009253,51.779734,59.175581
Naro-Fominsk,Russia,64902,71.009254,72.292663,59.175582,66.571429
Kungur,Russia,64898,72.292664,73.576073,66.57143,73.967277
Gorno-Altaysk,Russia,64464,73.576074,74.859483,73.967278,81.363125
Ishim,Russia,64414,74.859484,76.142893,81.363126,88.758973
Ishimbay,Russia,64386,76.142894,77.426304,88.758974,96.154821
Pavlovsky Posad,Russia,63568,55.608334,56.891743,96.154822,103.550669
Gukovo,Russia,63150,56.891744,58.175153,103.55067,110.946518
Klintsy,Russia,62992,58.175154,59.458563,110.946519,118.342366
Asbest,Russia,62908,59.458564,60.741973,118.342367,125.738214
Urus-Martan,Russia,62702,60.741974,62.025383,125.738215,133.134062
Rossosh,Russia,62625,62.025384,63.308793,133.134063,140.52991
Donskoy,Russia,62621,63.308794,64.592203,140.529911,147.925758
Kotlas,Russia,61990,64.592204,65.875613,147.925759,155.321606
Volsk,Russia,61943,65.875614,67.159023,155.321607,162.717454
Leninogorsk,Russia,61695,67.159024,68.442433,162.717455,170.113302
Zelenogorsk,Russia,61633,68.442434,69.725843,170.113303,177.509152
Revda,Russia,61533,69.725844,71.009253,36.988038,44.383885
Budyonnovsk,Russia,61329,71.009254,72.292663,44.383886,51.779733
Tuapse,Russia,61180,72.292664,73.576073,51.779734,59.175581
Polevskoy,Russia,60979,73.576074,74.859483,59.175582,66.571429
Sibay,Russia,60780,74.859484,76.142893,66.57143,73.967277
Izberbash,Russia,60453,76.142894,77.426304,73.967278,81.363125
Lysva,Russia,60310,55.608334,56.891743,81.363126,88.758973
Borisoglebsk,Russia,59864,56.891744,58.175153,88.758974,96.154821
Fryazino,Russia,59535,58.175154,59.458563,96.154822,103.550669
Kumertau,Russia,59478,59.458564,60.741973,103.55067,110.946518
Chistopol,Russia,59446,60.741974,62.025383,110.946519,118.342366
Labinsk,Russia,59330,62.025384,63.308793,118.342367,125.738214
Lesosibirsk,Russia,59306,63.308794,64.592203,125.738215,133.134062
Belebey,Russia,59229,64.592204,65.875613,133.134063,140.52991
Lytkarino,Russia,59150,65.875614,67.159023,140.529911,147.925758
Beryozovsky,Russia,59030,67.159024,68.442433,147.925759,155.321606
Nyagan,Russia,58565,68.442434,69.725843,155.321607,162.717454
Prokhladny,Russia,58226,69.725844,71.009253,162.717455,170.113302
Tikhvin,Russia,58116,71.009254,72.292663,170.113303,177.509152
Neryungri,Russia,57934,72.292664,73.576073,36.988038,44.383885
Krymsk,Russia,57927,73.576074,74.859483,44.383886,51.779733
Alexandrov,Russia,57899,74.859484,76.142893,51.779734,59.175581
Aleksin,Russia,57516,76.142894,77.426304,59.175582,66.571429
Rzhev,Russia,57515,55.608334,56.891743,66.57143,73.967277
Mikhaylovka,Russia,57447,56.891744,58.175153,73.967278,81.363125
Shchyokino,Russia,57140,58.175154,59.458563,81.363126,88.758973
Tikhoretsk,Russia,57098,59.458564,60.741973,88.758974,96.154821
Shuya,Russia,57039,60.741974,62.025383,96.154822,103.550669
Salsk,Russia,56832,62.025384,63.308793,103.55067,110.946518
Pavlovo,Russia,56680,63.308794,64.592203,110.946519,118.342366
Meleuz,Russia,56677,64.592204,65.875613,118.342367,125.738214
Sertolovo,Russia,56620,65.875614,67.159023,125.738215,133.134062
Dzerzhinsky,Russia,56376,67.159024,68.442433,133.134063,140.52991
Krasnoturyinsk,Russia,56290,68.442434,69.725843,140.529911,147.925758
Iskitim,Russia,56033,69.725844,71.009253,147.925759,155.321606
Gudermes,Russia,55863,71.009254,72.292663,155.321607,162.717454
Shali,Russia,55076,72.292664,73.576073,162.717455,170.113302
Apatity,Russia,54667,73.576074,74.859483,170.113303,177.509152
Svobodny,Russia,54017,74.859484,76.142893,36.988038,44.383885
Severomorsk,Russia,53525,76.142894,77.426304,44.383886,51.779733
Liski,Russia,53504,55.608334,56.891743,51.779734,59.175581
Volzhsk,Russia,53216,56.891744,58.175153,59.175582,66.571429
Vyksa,Russia,53010,58.175154,59.458563,66.57143,73.967277
Gus-Khrustalny,Russia,52779,59.458564,60.741973,73.967278,81.363125
Vorkuta,Russia,52776,60.741974,62.025383,81.363126,88.758973
Krasnokamsk,Russia,52537,62.025384,63.308793,88.758974,96.154821
Vyazma,Russia,52347,63.308794,64.592203,96.154822,103.550669
Arsenyev,Russia,52173,64.592204,65.875613,103.55067,110.946518
Snezhinsk,Russia,51751,65.875614,67.159023,110.946519,118.342366
Zhigulyovsk,Russia,51641,67.159024,68.442433,118.342367,125.738214
Belorechensk,Russia,51590,68.442434,69.725843,125.738215,133.134062
Krasnokamensk,Russia,51387,69.725844,71.009253,133.134063,140.52991
Salekhard,Russia,50976,71.009254,72.292663,140.529911,147.925758
Timashyovsk,Russia,50792,72.292664,73.576073,147.925759,155.321606
Kirishi,Russia,50525,73.576074,74.859483,155.321607,162.717454
Solnechnogorsk,Russia,50169,74.859484,76.142893,162.717455,170.113302
Cheremkhovo,Russia,50154,76.142894,77.426304,170.113303,177.509152
Toronto,Canada,2600000,49.648233,50.658886,-140.825624,-136.8047
Montreal,Canada,1600000,50.658887,51.669541,-136.804699,-132.783776
Calgary,Canada,1019942,51.669542,52.680195,-132.783775,-128.762852
Ottawa,Canada,812129,52.680196,53.69085,-128.762851,-124.741928
Edmonton,Canada,712391,53.69085,54.701504,-124.741927,-120.721004
Mississauga,Canada,668549,54.701505,55.712159,-120.721003,-116.70008
North York,Canada,636000,55.71216,56.722813,-116.700079,-112.679156
Winnipeg,Canada,632063,56.722814,57.733468,-112.679155,-108.658231
Scarborough,Canada,600000,57.733469,58.744122,-108.65823,-104.637307
Vancouver,Canada,600000,58.744123,59.754777,-104.637306,-100.616383
Quebec,Canada,528595,59.754778,60.765431,-100.616382,-96.595459
Hamilton,Canada,519949,60.765432,61.776086,-96.595458,-92.574535
Brampton,Canada,433806,61.776087,62.78674,-92.574534,-88.553611
Surrey,Canada,394976,62.786741,63.797395,-88.55361,-84.532687
Laval,Canada,376845,63.797396,64.808049,-84.532686,-80.511762
Halifax,Canada,359111,64.80805,65.818704,-80.511761,-76.490838
Etobicoke,Canada,347948,65.818705,66.829358,-76.490837,-72.469914
London,Canada,346765,66.829359,67.840013,-72.469913,-68.44899
Okanagan,Canada,297601,67.840014,68.850667,-68.448989,-64.428066
Victoria,Canada,289625,68.850668,69.861323,-64.428065,-60.407142
Windsor,Canada,278013,49.648233,50.658886,-60.407141,-56.386217
Markham,Canada,261573,50.658887,51.669541,-140.825624,-136.8047
Oshawa,Canada,247989,51.669542,52.680195,-136.804699,-132.783776
Gatineau,Canada,242124,52.680196,53.69085,-132.783775,-128.762852
Vaughan,Canada,238866,53.69085,54.701504,-128.762851,-124.741928
Kitchener,Canada,233700,54.701505,55.712159,-124.741927,-120.721004
Longueuil,Canada,229330,55.71216,56.722813,-120.721003,-116.70008
Burnaby,Canada,202799,56.722814,57.733468,-116.700079,-112.679156
Ladner,Canada,200000,57.733469,58.744122,-112.679155,-108.658231
Saskatoon,Canada,198958,58.744123,59.754777,-108.65823,-104.637307
Richmond Hill,Canada,185541,59.754778,60.765431,-104.637306,-100.616383
Barrie,Canada,182041,60.765432,61.776086,-100.616382,-96.595459
Richmond,Canada,182000,61.776087,62.78674,-96.595458,-92.574535
Nepean,Canada,180000,62.786741,63.797395,-92.574534,-88.553611
Regina,Canada,176183,63.797396,64.808049,-88.55361,-84.532687
Oakville,Canada,165697,64.80805,65.818704,-84.532686,-80.511762
Burlington,Canada,164415,65.818705,66.829358,-80.511761,-76.490838
Greater Sudbury,Canada,157857,66.829359,67.840013,-76.490837,-72.469914
Abbotsford,Canada,151683,67.840014,68.850667,-72.469913,-68.44899
Saguenay,Canada,143692,68.850668,69.861323,-68.448989,-64.428066
St. Catharines,Canada,131989,49.648233,50.658886,-64.428065,-60.407142
Sherbrooke,Canada,129447,50.658887,51.669541,-60.407141,-56.386217
Anmore,Canada,126456,51.669542,52.680195,-140.825624,-136.8047
Levis,Canada,126396,52.680196,53.69085,-136.804699,-132.783776
Kelowna,Canada,125109,53.69085,54.701504,-132.783775,-128.762852
Cambridge,Canada,120372,54.701505,55.712159,-128.762851,-124.741928
Trois Rivieres,Canada,119693,55.71216,56.722813,-124.741927,-120.721004
Guelph,Canada,115760,56.722814,57.733468,-120.721003,-116.70008
East York,Canada,115365,57.733469,58.744122,-116.700079,-112.679156
Coquitlam,Canada,114565,58.744123,59.754777,-112.679155,-108.658231
Kingston,Canada,114195,59.754778,60.765431,-108.65823,-104.637307
Sydney,Canada,105968,60.765432,61.776086,-104.637306,-100.616383
Delta,Canada,101668,61.776087,62.78674,-100.616382,-96.595459
Dartmouth,Canada,101343,62.786741,63.797395,-96.595458,-92.574535
Thunder Bay,Canada,99334,63.797396,64.808049,-92.574534,-88.553611
St. John's,Canada,99182,64.80805,65.818704,-88.55361,-84.532687
Waterloo,Canada,97475,65.818705,66.829358,-84.532686,-80.511762
Terrebonne,Canada,94703,66.829359,67.840013,-80.511761,-76.490838
Ajax,Canada,90167,67.840014,68.850667,-76.490837,-72.469914
Saint John,Canada,87857,68.850668,69.861323,-72.469913,-68.44899
Pickering,Canada,87838,49.648233,50.658886,-68.448989,-64.428066
Brantford,Canada,87759,50.658887,51.669541,-64.428065,-60.407142
Moncton,Canada,87467,51.669542,52.680195,-60.407141,-56.386217
Nanaimo,Canada,84905,52.680196,53.69085,-140.825624,-136.8047
Milton,Canada,84362,53.69085,54.701504,-136.804699,-132.783776
Sarnia,Canada,82998,54.701505,55.712159,-132.783775,-128.762852
Niagara Falls,Canada,82000,55.71216,56.722813,-128.762851,-124.741928
Willowdale,Canada,79440,56.722814,57.733468,-124.741927,-120.721004
Saint Laurent,Canada,77391,57.733469,58.744122,-120.721003,-116.70008
Chilliwack,Canada,77000,58.744123,59.754777,-116.700079,-112.679156
Repentigny,Canada,76237,59.754778,60.765431,-112.679155,-108.658231
Fort Mcmurray,Canada,76000,60.765432,61.776086,-108.65823,-104.637307
Peterborough,Canada,75877,61.776087,62.78674,-104.637306,-100.616383
Sault Ste. Marie,Canada,74948,62.786741,63.797395,-100.616382,-96.595459
Newmarket,Canada,74295,63.797396,64.808049,-96.595458,-92.574535
La Haute Saint Charles,Canada,74070,64.80805,65.818704,-92.574534,-88.553611
Red Deer,Canada,73593,65.818705,66.829358,-88.55361,-84.532687
Saint Leonard,Canada,73423,66.829359,67.840013,-84.532686,-80.511762
Saint Jean Sur Richelieu,Canada,71613,67.840014,68.850667,-80.511761,-76.490838
Lethbridge,Canada,70617,68.850668,69.861323,-76.490837,-72.469914
Maple Ridge,Canada,70000,49.648233,50.658886,-72.469913,-68.44899
