ID,Category,Wind Speed (mph),Rain Fall (in.),Flood Depth (in.),Diameter (mi.),Warning Time,Start Time (made landfall),End Time (< category 1),Path,Path Length (mi.),Deaths,Permanent Injuries,Less Severe Injuries,Buildings Destroyed
H-2000010,3,112,13,35,229,"Dec. 19, 1944 - 04:23:48","Dec. 25, 1944 - 04:51:36","Dec. 25, 1944 - 22:51:36","58.11879, 146.89234 -> 58.652972, 72.944183 -> 76.957994, 106.123278 -> 55.763519, 168.821353 -> 71.26811, 136.712244 -> 62.90113, 61.082913 -> 59.944149, 53.278148 -> 77.066985, 57.342482 -> 73.942454, 148.593024 -> 74.567831, 166.978004 -> 71.628817, 58.946943 -> 68.867643, 57.627619 -> 69.820578, 100.719018 -> 55.808951, 39.205282 -> 62.477984, 155.942119 -> 61.219828, 87.770106 -> 76.667982, 85.627447 -> 64.054409, 172.810852 -> 59.069624, 102.126937 -> 58.711394, 163.595728 -> 75.7181, 79.885544 -> 73.43952, 133.161574 -> 73.942266, 159.393526 -> 71.664719, 158.266304 -> 66.582312, 161.931759 -> 72.486019, 106.472863 -> 70.606285, 72.089553 -> 63.383087, 123.231739 -> 70.160741, 42.013289 -> 75.429071, 70.689591 -> 66.281617, 97.552202 -> 67.010791, 128.174937 -> 74.259981, 147.726399 -> 59.141969, 105.653892",162.0,122252,483728,2356014,546127
H-2000011,5,171,29,112,342,"Apr. 4, 1917 - 12:45:40","Apr. 9, 1917 - 17:00:58","Apr. 10, 1917 - 14:00:58","27.336084, 45.628942 -> 26.889054, 51.320887 -> 17.912183, 44.891725 -> 21.053963, 47.627342 -> 26.574844, 51.275087 -> 21.609411, 35.660903 -> 21.816329, 38.782071 -> 24.919884, 49.496527 -> 30.563065, 35.823777 -> 30.066028, 44.463832 -> 22.311803, 37.130446 -> 24.457686, 40.605189 -> 26.31735, 39.640499 -> 21.40345, 51.08953 -> 30.96057, 40.439959 -> 28.742223, 41.728346 -> 24.972468, 53.089521 -> 26.407942, 49.430255 -> 18.115913, 51.39248 -> 21.190589, 39.739098 -> 25.159523, 36.803557 -> 18.637213, 49.386998 -> 22.786518, 37.360138 -> 27.198512, 36.459885 -> 24.975626, 47.704636 -> 30.899125, 38.301733 -> 18.377199, 48.610756 -> 23.54259, 47.76638 -> 25.278497, 43.721411 -> 28.700595, 35.891256 -> 24.780732, 40.430005 -> 23.343242, 40.577502 -> 26.922308, 41.741029 -> 20.501348, 43.749557",181.0,119411,1855459,2829421,534804
H-2000012,3,126,11,13,193,"Oct. 15, 1970 - 23:15:02","Oct. 22, 1970 - 15:15:23","Oct. 23, 1970 - 08:15:23","2.609614, 20.578012 -> -2.711708, 15.595948 -> -5.819292, 14.027256 -> -1.503351, 15.953469 -> 0.409036, 18.168236 -> -6.764446, 15.719133 -> -12.112357, 15.214365 -> -5.256982, 16.434767 -> -4.766079, 20.546177 -> 2.200919, 24.114023 -> -1.18647, 19.434565 -> 1.679663, 27.508438 -> -6.55077, 24.920353 -> -11.820657, 26.258166 -> 2.879839, 17.209236 -> -11.970462, 17.790608 -> -3.35018, 13.990335 -> -7.308177, 26.706865 -> -1.728445, 26.961047 -> -4.971789, 28.899413 -> -12.670002, 23.906721 -> 3.685342, 26.129825 -> -3.597624, 19.380479 -> 3.810118, 23.582685 -> -11.8979, 20.93303 -> 4.349439, 13.958407 -> -10.939753, 27.287897 -> -1.948223, 16.478798 -> -2.768924, 26.080985 -> -7.244541, 18.17755 -> -9.606136, 19.138972 -> 4.218848, 15.959755 -> -3.351093, 28.10793 -> -8.723807, 18.062131",159.0,23463,112249,468347,99326
H-2000013,1,80,9,9,88,"May 09, 1978 - 12:23:31","May 14, 1978 - 01:47:55","May 14, 1978 - 16:47:55","-6.880382, 20.164517 -> -5.353689, 23.333297 -> -7.075413, 13.917436 -> 3.487595, 12.919622 -> 3.874969, 24.211587 -> -3.847118, 22.582307 -> -4.795907, 14.175213 -> 2.412096, 14.489745 -> 2.635081, 18.594457 -> -6.339564, 17.95095 -> -8.183215, 16.097618 -> -5.757826, 28.016624 -> -4.086602, 12.903884 -> 3.585385, 20.799701 -> -6.171819, 15.604879 -> -5.672595, 27.03926 -> -3.292268, 26.772614 -> -0.98017, 27.848349 -> -1.290553, 24.845601 -> 1.136719, 22.457461 -> -11.517935, 13.634554 -> -3.90675, 17.547489 -> -11.297041, 20.899846 -> -8.378416, 19.259698 -> -7.645101, 22.416835 -> 4.467365, 26.165316 -> 1.646931, 19.09777 -> -3.092511, 24.874462 -> -6.442827, 18.256974 -> -6.834407, 24.302717 -> 2.089706, 15.916971 -> 1.191472, 27.934229 -> 4.550656, 17.946506 -> -4.888385, 21.11997",102.0,15495,0,271314,72125
H-2000014,2,107,8,13,246,"Jul. 15, 1899 - 23:54:40","Jul. 21, 1899 - 23:55:08","Jul. 22, 1899 - 16:55:08","3.152413, -45.442438 -> -21.668459, -36.649355 -> -20.510587, -50.514345 -> -15.537045, -44.701711 -> -0.411448, -45.112983 -> -5.725188, -64.550155 -> -4.126332, -52.297843 -> -13.908445, -38.687107 -> -0.876492, -43.128517 -> -19.978001, -48.205362 -> -10.078942, -70.110437 -> -9.124067, -43.088054 -> -14.371582, -56.789542 -> -3.225623, -71.849305 -> -10.214882, -67.932021 -> 2.033185, -66.351823 -> -3.995772, -71.378512 -> -2.339186, -52.020987 -> -13.990884, -61.635588 -> 0.546427, -55.150421 -> 0.488879, -69.852739 -> 0.316013, -72.583564 -> -6.958613, -36.062809 -> -10.60701, -39.808078 -> 0.832207, -62.395752 -> -0.4938, -37.049832 -> -9.429342, -50.236853 -> -10.709846, -49.501357 -> -8.814198, -37.704891 -> -16.217245, -55.465218 -> -7.90725, -58.479872 -> -18.194647, -54.638975 -> -6.662752, -69.27037 -> -13.388018, -62.66641",120.0,15284,0,181446,62909
H-2000015,2,107,8,19,209,"Mar. 16, 1938 - 21:09:33","Mar. 22, 1938 - 08:54:04","Mar. 23, 1938 - 00:54:04","54.028284, -86.919342 -> 58.602576, -74.317901 -> 56.041341, -122.712146 -> 57.583615, -138.28641 -> 54.642677, -76.896088 -> 54.776911, -122.844924 -> 64.585298, -92.091579 -> 59.124874, -70.528072 -> 54.708394, -98.960787 -> 52.478588, -86.321941 -> 60.340921, -119.613763 -> 51.51006, -118.00033 -> 67.156652, -131.303802 -> 52.113794, -89.78641 -> 53.280257, -107.953669 -> 55.247018, -69.255281 -> 68.85702, -137.023267 -> 56.150915, -70.986258 -> 51.946182, -119.049129 -> 49.994943, -105.490242 -> 68.519641, -94.971211 -> 60.481349, -103.988345 -> 56.761387, -93.641437 -> 66.529198, -86.354409 -> 58.101881, -99.164527 -> 50.582588, -121.48725 -> 65.065154, -63.166713 -> 64.640226, -62.942506 -> 61.398696, -77.735716 -> 59.812413, -127.954724 -> 67.744006, -61.181151 -> 61.106804, -135.46024 -> 64.550289, -130.402162 -> 52.500814, -98.049889",142.0,2177,0,27395,6057
H-2000016,4,147,34,110,329,"Mar. 18, 1906 - 02:34:23","Mar. 27, 1906 - 15:35:51","Mar. 28, 1906 - 09:35:51","-37.250239, -55.525765 -> -34.24766, -55.341186 -> -38.941129, -57.315411 -> -27.394145, -69.406653 -> -50.791537, -61.012972 -> -39.451117, -58.498578 -> -31.135159, -69.121271 -> -41.925555, -56.559562 -> -44.335499, -66.917277 -> -37.022457, -67.46654 -> -44.392785, -69.20429 -> -48.58404, -69.671157 -> -26.030899, -60.75837 -> -36.249772, -62.601915 -> -38.870346, -64.907495 -> -42.528574, -64.402024 -> -22.499895, -59.063158 -> -23.167812, -64.282484 -> -49.95619, -60.462274 -> -22.210191, -61.391311 -> -26.599082, -66.865592 -> -36.165577, -57.432808 -> -23.85463, -68.413151 -> -27.022412, -62.538795 -> -45.268971, -63.287048 -> -47.138411, -64.078056 -> -45.165162, -69.484267 -> -35.233913, -69.345063 -> -34.46514, -60.055132 -> -24.472342, -61.11373 -> -32.29526, -63.23568 -> -49.210275, -65.511459 -> -45.272412, -62.295827 -> -44.166698, -67.580134",186.0,15324,50248,316841,64483
H-2000017,5,170,37,135,394,"Sep. 1, 1911 - 06:55:15","Sep. 8, 1911 - 05:40:40","Sep. 9, 1911 - 01:40:40","53.317944, -134.98071 -> 54.150614, -125.715638 -> 61.306766, -65.929147 -> 66.943213, -75.588067 -> 63.75016, -91.160696 -> 50.647005, -59.963763 -> 59.919972, -118.950326 -> 58.29952, -74.849061 -> 54.673858, -122.404965 -> 51.591992, -139.81306 -> 65.758055, -56.93052 -> 63.275771, -106.46851 -> 69.63028, -90.732845 -> 54.770435, -120.675786 -> 50.072313, -90.918167 -> 60.299532, -88.030349 -> 54.980563, -63.849255 -> 51.082094, -77.124804 -> 64.168805, -68.990862 -> 52.196996, -100.92107 -> 65.432407, -112.539548 -> 60.061968, -80.712604 -> 55.904046, -122.358999 -> 69.749293, -132.018056 -> 62.201366, -73.800248 -> 58.590499, -121.511179 -> 62.637723, -122.192975 -> 51.058345, -81.510481 -> 49.956568, -82.909817 -> 61.971479, -118.015465 -> 68.38591, -101.353841 -> 58.705361, -89.089139 -> 61.579496, -68.7478 -> 68.491874, -128.13593",194.0,86346,1062110,1258324,270178
H-2000018,5,162,46,200,1039,"Jan. 19, 1899 - 09:12:53","Jan. 25, 1899 - 19:39:18","Jan. 26, 1899 - 17:39:18","25.225319, 113.598582 -> 29.158753, 93.667071 -> 25.184018, 104.86492 -> 34.356701, 105.558198 -> 31.357249, 93.03389 -> 27.721709, 109.003159 -> 35.035633, 88.695355 -> 30.525789, 109.798448 -> 30.036986, 113.952755 -> 22.636575, 118.199722 -> 28.758585, 100.745368 -> 24.115404, 113.428972 -> 36.480031, 89.334315 -> 28.732958, 106.240572 -> 38.577124, 112.316389 -> 23.328343, 113.362022 -> 35.075687, 116.577254 -> 38.412868, 113.83687 -> 25.877869, 118.304087 -> 27.0258, 97.969585 -> 24.252597, 116.86626 -> 38.786475, 109.928038 -> 33.636851, 107.108853 -> 38.832939, 104.387641 -> 34.873228, 102.98965 -> 37.300417, 99.110104 -> 37.159731, 88.427661 -> 30.128775, 88.832866 -> 35.870867, 101.368128 -> 32.958907, 119.004929 -> 33.640489, 113.542034 -> 28.408218, 105.430087 -> 28.110515, 118.084955 -> 34.987506, 118.633904",192.0,705630,9754985,13248560,3027981
H-2000019,5,167,57,229,576,"Nov. 18, 1962 - 15:12:22","Nov. 28, 1962 - 11:44:13","Nov. 29, 1962 - 09:44:13","77.229323, -41.264923 -> 65.84575, -35.518604 -> 63.788807, -46.159534 -> 74.402531, -45.14939 -> 72.255061, -29.871259 -> 77.257654, -22.06111 -> 66.947955, -35.216019 -> 72.951417, -47.235136 -> 76.785405, -49.899346 -> 64.405605, -22.27049 -> 83.07528, -32.472298 -> 61.909598, -29.507593 -> 66.07562, -47.45661 -> 65.693398, -28.062427 -> 71.0132, -20.949217 -> 61.05689, -45.12591 -> 72.005394, -29.133762 -> 80.775029, -55.088055 -> 77.945971, -44.692165 -> 76.485658, -51.152697 -> 63.07665, -35.928074 -> 67.167552, -52.236005 -> 75.654181, -52.710538 -> 68.819842, -51.292229 -> 74.225451, -42.325015 -> 80.847685, -48.045157 -> 68.633914, -43.009925 -> 70.19523, -50.363521 -> 78.466337, -37.867534 -> 67.907121, -20.723936 -> 81.775924, -27.042978 -> 77.325082, -53.56424 -> 60.462172, -21.073383 -> 61.465638, -52.811304",205.0,1058,13873,16126,3236
H-2000020,5,164,33,106,939,"Sep. 22, 1932 - 04:31:03","Oct. 2, 1932 - 16:21:26","Oct. 3, 1932 - 13:21:26","23.336851, 102.777358 -> 33.125422, 96.566464 -> 32.757053, 118.826809 -> 36.798322, 106.962066 -> 26.646578, 90.458896 -> 22.441121, 116.114975 -> 23.009249, 98.249123 -> 31.646256, 94.391781 -> 23.150831, 118.71803 -> 28.532115, 96.85329 -> 25.408183, 102.338158 -> 26.325556, 118.583117 -> 28.811702, 96.036633 -> 33.612903, 118.141439 -> 35.359755, 88.565994 -> 32.386064, 103.157325 -> 34.108146, 116.300035 -> 24.230817, 111.552358 -> 22.765083, 104.708128 -> 28.501509, 104.641665 -> 32.677975, 92.531572 -> 36.861503, 98.234566 -> 25.272631, 89.316881 -> 33.068255, 109.415834 -> 23.395537, 119.985267 -> 29.189833, 103.889566 -> 35.548393, 91.002741 -> 24.400035, 100.664794 -> 35.430392, 108.955436 -> 22.661032, 116.838451 -> 38.318199, 105.064888 -> 27.4081, 105.991229 -> 27.777873, 119.056347 -> 31.541684, 98.641768",210.0,552570,8660719,12534177,1897813
H-2000021,2,99,7,12,247,"Apr. 3, 1943 - 16:39:18","Apr. 8, 1943 - 04:30:54","Apr. 8, 1943 - 18:30:54","66.000267, -72.816918 -> 51.643096, -107.63413 -> 58.883336, -122.035407 -> 49.966685, -65.987076 -> 59.156907, -140.478092 -> 61.854266, -100.887419 -> 59.345912, -118.418311 -> 56.332192, -60.255944 -> 67.864939, -58.228138 -> 63.132972, -107.870707 -> 63.274562, -102.177258 -> 49.764588, -61.298074 -> 67.47888, -63.558685 -> 62.190323, -78.976788 -> 52.65493, -122.491549 -> 62.927461, -134.972761 -> 65.115462, -62.901157 -> 51.993128, -120.59504 -> 68.86619, -85.398858 -> 60.195422, -85.776901 -> 51.00413, -82.205898 -> 51.022233, -139.104453 -> 58.026794, -68.22526 -> 56.263236, -85.319721 -> 51.4666, -71.854531 -> 57.435647, -96.733071 -> 64.871306, -116.141196 -> 68.363906, -76.916053 -> 60.874725, -66.850518 -> 61.776761, -92.599858 -> 69.509324, -126.537423 -> 69.205483, -76.672434 -> 63.932631, -87.431414 -> 52.071679, -78.711507",134.0,3312,0,53851,11343
H-2000022,2,100,9,0,134,"Jan. 25, 1877 - 13:27:13","Feb. 5, 1877 - 03:04:13","Feb. 5, 1877 - 18:04:13","-17.687922, -69.802255 -> -20.904896, -37.629645 -> -17.769345, -42.920276 -> -21.540546, -72.703771 -> 3.314815, -70.145961 -> -3.413904, -42.907337 -> -10.099068, -48.384602 -> -8.204773, -51.014498 -> -13.106653, -47.561607 -> -18.711763, -41.45417 -> 2.094964, -61.129404 -> -17.594659, -54.737001 -> -15.642708, -64.595871 -> -1.312824, -55.520885 -> -18.784326, -71.642115 -> -7.511539, -43.402628 -> -8.047301, -54.729377 -> -9.892234, -60.859534 -> -9.966212, -63.018332 -> -3.874885, -50.417605 -> -20.263934, -45.975596 -> -0.743342, -70.193287 -> -10.990061, -54.516812 -> -4.891006, -37.031814 -> -0.23082, -40.092242 -> -17.704013, -37.095436 -> -12.193601, -54.82564 -> -15.394383, -65.250715 -> -5.101436, -61.297236 -> -12.922593, -44.547642 -> -7.654457, -38.428916 -> -13.25806, -37.304794 -> -0.464742, -45.090738 -> 1.851043, -71.11417",136.0,36136,0,481499,108518
H-2000023,1,76,5,7,32,"Apr. 10, 1950 - 18:32:02","Apr. 17, 1950 - 21:50:18","Apr. 18, 1950 - 11:50:18","32.007319, -79.181667 -> 45.084947, -86.53988 -> 40.310574, -107.717342 -> 42.076969, -79.306471 -> 30.852291, -112.637409 -> 40.517124, -116.400513 -> 40.723508, -99.905324 -> 30.86999, -109.307701 -> 32.742593, -118.200051 -> 43.633071, -115.12585 -> 40.082248, -109.217988 -> 32.35122, -103.346992 -> 45.196195, -76.516335 -> 38.014341, -93.210629 -> 39.925315, -88.366092 -> 31.553062, -90.767091 -> 37.92843, -107.056855 -> 38.776547, -94.56803 -> 48.927178, -88.960853 -> 37.121984, -72.508425 -> 45.329525, -109.860408 -> 36.673682, -96.997122 -> 46.52755, -88.637318 -> 41.346195, -105.109346 -> 31.968653, -96.269733 -> 39.58519, -85.296086 -> 46.098032, -104.17804 -> 34.693726, -81.582031 -> 45.991413, -82.672559 -> 43.473409, -83.220169 -> 34.701438, -111.770331 -> 48.062924, -107.149856 -> 38.329487, -87.629178 -> 32.200844, -109.297578",120.0,10395,0,153165,40657
